Location ID From;Location ID To;Driving Time (s);Distance (m)
1;1;0;0
1;2;477;3228
1;3;518;3403
1;4;994;5718
1;5;974;5635
1;6;987;5559
1;7;907;5484
1;8;907;5484
1;9;813;5089
1;10;804;5052
1;11;832;5163
1;12;879;5235
1;13;867;5187
1;14;904;5469
1;15;658;4320
1;16;466;3941
1;17;515;4144
1;18;675;3342
1;19;793;5058
1;20;793;5057
1;21;778;4569
1;22;778;4569
1;23;778;4569
1;24;751;4586
1;25;713;4425
1;26;686;4315
1;27;708;4408
1;28;732;4508
1;29;732;4508
1;30;732;4508
1;31;749;4577
1;32;795;5190
1;33;787;5158
1;34;791;5173
1;35;822;5303
1;36;831;5342
1;37;831;5342
1;38;831;5342
1;39;761;3403
1;40;720;4455
1;41;704;4390
1;42;667;4237
1;43;667;4237
1;44;658;4198
1;45;670;4247
1;46;687;4193
1;47;687;4194
1;48;673;4136
1;49;552;3754
1;50;591;3915
1;51;591;3915
1;52;649;4160
1;53;654;4180
1;54;603;3968
1;55;570;3830
1;56;564;3805
1;57;564;3805
1;58;564;3805
1;59;554;3762
1;60;362;2315
1;61;368;2419
1;62;565;2472
1;63;596;3939
2;1;505;3611
2;2;0;0
2;3;47;199
2;4;280;918
2;5;260;835
2;6;273;759
2;7;227;822
2;8;227;822
2;9;242;881
2;10;218;782
2;11;246;893
2;12;293;965
2;13;281;917
2;14;224;807
2;15;542;2258
2;16;503;2086
2;17;477;1982
2;18;750;3121
2;19;817;3279
2;20;817;3278
2;21;844;3392
2;22;844;3392
2;23;844;3392
2;24;805;3228
2;25;767;3067
2;26;740;2957
2;27;762;3050
2;28;786;3150
2;29;786;3150
2;30;786;3150
2;31;803;3219
2;32;819;3411
2;33;811;3379
2;34;815;3394
2;35;846;3524
2;36;855;3563
2;37;855;3563
2;38;855;3563
2;39;883;3680
2;40;774;3097
2;41;758;3032
2;42;721;2879
2;43;721;2879
2;44;712;2840
2;45;724;2889
2;46;741;2835
2;47;741;2836
2;48;727;2778
2;49;606;2396
2;50;645;2557
2;51;645;2557
2;52;703;2802
2;53;708;2822
2;54;657;2610
2;55;624;2472
2;56;618;2447
2;57;618;2447
2;58;618;2447
2;59;608;2404
2;60;525;3915
2;61;531;4019
2;62;845;7855
2;63;650;2581
3;1;479;3234
3;2;107;199
3;3;0;0
3;4;247;777
3;5;227;694
3;6;240;618
3;7;194;681
3;8;194;681
3;9;209;740
3;10;185;641
3;11;213;752
3;12;260;824
3;13;248;776
3;14;191;666
3;15;509;2117
3;16;470;1945
3;17;444;1841
3;18;717;2980
3;19;784;3138
3;20;784;3137
3;21;811;3251
3;22;811;3251
3;23;811;3251
3;24;772;3087
3;25;734;2926
3;26;707;2816
3;27;729;2909
3;28;753;3009
3;29;753;3009
3;30;753;3009
3;31;770;3078
3;32;786;3270
3;33;778;3238
3;34;782;3253
3;35;813;3383
3;36;822;3422
3;37;822;3422
3;38;822;3422
3;39;850;3539
3;40;741;2956
3;41;725;2891
3;42;688;2738
3;43;688;2738
3;44;679;2699
3;45;691;2748
3;46;708;2694
3;47;708;2695
3;48;694;2637
3;49;573;2255
3;50;612;2416
3;51;612;2416
3;52;670;2661
3;53;675;2681
3;54;624;2469
3;55;591;2331
3;56;585;2306
3;57;585;2306
3;58;585;2306
3;59;575;2263
3;60;499;3538
3;61;505;3642
3;62;819;7478
3;63;617;2440
4;1;652;3953
4;2;280;918
4;3;247;777
4;4;0;0
4;5;21;86
4;6;101;297
4;7;299;876
4;8;299;876
4;9;314;935
4;10;290;836
4;11;318;947
4;12;365;1019
4;13;353;971
4;14;296;861
4;15;614;2312
4;16;575;2140
4;17;549;2036
4;18;822;3175
4;19;889;3333
4;20;889;3332
4;21;916;3446
4;22;916;3446
4;23;916;3446
4;24;877;3282
4;25;839;3121
4;26;812;3011
4;27;834;3104
4;28;858;3204
4;29;858;3204
4;30;858;3204
4;31;875;3273
4;32;891;3465
4;33;883;3433
4;34;887;3448
4;35;918;3578
4;36;927;3617
4;37;927;3617
4;38;927;3617
4;39;955;3734
4;40;846;3151
4;41;830;3086
4;42;793;2933
4;43;793;2933
4;44;784;2894
4;45;796;2943
4;46;813;2889
4;47;813;2890
4;48;799;2832
4;49;678;2450
4;50;717;2611
4;51;717;2611
4;52;775;2856
4;53;780;2876
4;54;729;2664
4;55;696;2526
4;56;690;2501
4;57;690;2501
4;58;690;2501
4;59;680;2458
4;60;672;4257
4;61;678;4361
4;62;992;8197
4;63;722;2635
5;1;632;3870
5;2;260;835
5;3;227;694
5;4;21;86
5;5;0;0
5;6;81;214
5;7;279;793
5;8;279;793
5;9;294;852
5;10;270;753
5;11;298;864
5;12;345;936
5;13;333;888
5;14;276;778
5;15;594;2229
5;16;555;2057
5;17;529;1953
5;18;802;3092
5;19;869;3250
5;20;869;3249
5;21;896;3363
5;22;896;3363
