Location ID From;Location ID To;Driving Time (s);Distance (m)
1;1;0;0
1;2;2286;31794
1;3;2289;32885
1;4;2289;32885
1;5;2286;32872
1;6;2285;32867
1;7;2259;32632
1;8;2268;32796
1;9;2274;32818
1;10;2263;32051
1;11;2238;31948
1;12;2284;32014
1;13;2207;31692
1;14;2418;33240
1;15;2427;33275
1;16;2428;33280
1;17;2210;32114
1;18;2190;31907
1;19;2202;31954
1;20;2202;31954
1;21;2230;32072
1;22;2316;32556
1;23;2329;32617
1;24;2291;32328
1;25;2294;32465
1;26;2304;32510
1;27;2383;32834
1;28;2358;32730
1;29;2209;32111
1;30;2164;31918
1;31;2139;31815
1;32;2185;31881
1;33;2237;31971
1;34;2228;31937
1;35;2232;32075
1;36;2170;31816
1;37;2173;31830
1;38;2173;31830
1;39;2296;32342
1;40;2340;34503
1;41;2314;32420
1;42;2333;34904
1;43;2335;34943
1;44;2316;34624
1;45;2320;34512
1;46;2330;34551
1;47;2276;32130
1;48;2307;32386
1;49;2309;32397
1;50;2313;32416
1;51;2352;32573
1;52;2355;32586
1;53;2262;32364
1;54;2325;32852
1;55;2278;32628
1;56;2373;33020
1;57;2404;33153
1;58;2297;32067
1;59;2323;32179
1;60;2323;32179
1;61;2345;32263
1;62;2325;32179
1;63;2318;32149
1;64;2202;31671
1;65;2178;31569
1;66;2183;31589
1;67;2246;31850
1;68;2146;31440
1;69;2104;31266
1;70;2107;31280
1;71;2030;31116
1;72;2030;31116
1;73;2063;31407
1;74;2100;31436
1;75;2060;31603
1;76;2155;31352
1;77;2191;31505
1;78;2135;32363
1;79;2136;32385
1;80;2391;35896
1;81;2322;34655
1;82;2343;34767
1;83;2313;34576
1;84;2361;34877
1;85;2365;34894
1;86;2388;35101
1;87;2329;34296
1;88;2329;34296
1;89;2332;34309
1;90;2358;34417
1;91;2293;33625
1;92;2408;34223
1;93;2273;33544
1;94;2262;33497
1;95;2262;33496
1;96;2272;33653
1;97;2302;33781
1;98;2317;33845
1;99;2353;34042
1;100;2354;34061
1;101;2299;33941
1;102;2294;33920
1;103;2291;33909
1;104;2426;35700
1;105;2346;34399
1;106;2312;34261
1;107;2306;34419
1;108;2344;34920
1;109;2396;34790
1;110;2437;35056
1;111;2440;35070
1;112;2297;34311
1;113;2335;34804
1;114;2354;35225
1;115;2354;35225
1;116;2354;35225
1;117;2354;35225
1;118;2245;33458
1;119;2138;32259
1;120;2148;32403
1;121;2233;32758
1;122;2223;32717
1;123;2215;32684
1;124;2012;30330
1;125;2012;30330
1;126;2012;30330
1;127;2024;30423
1;128;2035;30469
1;129;2074;30506
1;130;2084;30106
1;131;2058;29999
1;132;2046;29949
1;133;2134;30309
1;134;2123;30140
1;135;2105;30065
1;136;2105;30065
1;137;2038;29787
1;138;2034;29772
1;139;1948;29540
1;140;2110;30215
2;1;2221;28043
2;2;0;0
2;3;527;3157
2;4;527;3157
2;5;524;3144
2;6;523;3139
2;7;497;2904
2;8;506;3068
2;9;512;3090
2;10;629;3448
2;11;604;3345
2;12;650;3411
2;13;573;3089
2;14;875;4975
2;15;884;5010
2;16;885;5015
2;17;667;3849
2;18;647;3642
2;19;659;3689
2;20;659;3689
2;21;687;3807
2;22;773;4291
2;23;786;4352
2;24;748;4063
2;25;751;4200
2;26;761;4245
2;27;840;4569
2;28;815;4465
2;29;666;3846
2;30;621;3653
2;31;596;3550
2;32;642;3616
2;33;694;3706
2;34;685;3672
2;35;686;5426
2;36;627;3551
2;37;630;3565
2;38;630;3565
2;39;681;5284
2;40;536;4881
2;41;590;5124
2;42;510;4439
2;43;512;4478
2;44;565;4864
2;45;544;4646
2;46;579;4791
2;47;615;5132
2;48;633;5299
2;49;631;5288
2;50;627;5272
2;51;737;5515
2;52;740;5528
2;53;719;4099
2;54;782;4587
2;55;800;4664
2;56;895;5056
2;57;926;5189
2;58;663;3464
2;59;689;3576
2;60;689;3576
2;61;711;3660
2;62;691;3576
2;63;684;3546
2;64;568;3068
2;65;544;2966
2;66;549;2986
2;67;612;3247
2;68;702;3994
2;69;470;2663
2;70;473;2677
2;71;396;2513
2;72;396;2513
2;73;429;2804
2;74;466;2833
2;75;426;3000
2;76;621;3801
2;77;657;3954
2;78;373;2635
2;79;374;2657
2;80;464;3670
2;81;463;3558
2;82;484;3670
2;83;553;5484
2;84;601;5785
2;85;605;5802
2;86;628;6009
2;87;569;5204
2;88;569;5204
2;89;572;5217
2;90;598;5325
2;91;533;4533
2;92;648;5131
2;93;513;4452
2;94;502;4405
2;95;502;4404
2;96;512;4561
2;97;542;4689
2;98;557;4753
2;99;459;3547
2;100;460;3566
2;101;539;4849
2;102;534;4828
2;103;531;4817
2;104;503;3567
2;105;586;5307
