Location ID From;Location ID To;Driving Time (s);Distance (m)
1;1;0;0
1;2;76;317
1;3;76;317
1;4;76;317
1;5;489;2038
1;6;874;10545
1;7;876;10556
1;8;885;10593
1;9;938;11041
1;10;938;11041
1;11;936;11030
1;12;936;11030
1;13;936;11030
1;14;936;11030
1;15;962;11013
1;16;960;11005
1;17;938;10908
1;18;911;10923
1;19;925;10983
1;20;955;11112
1;21;955;11112
1;22;1005;11084
1;23;1085;11421
1;24;1073;11373
1;25;1158;14052
1;26;1118;11560
1;27;1241;11824
1;28;1217;14295
1;29;1013;11119
1;30;1026;11050
1;31;956;10885
1;32;1012;12646
1;33;1012;12646
1;34;1065;12865
1;35;1091;12975
1;36;1084;12944
1;37;1091;12973
1;38;1121;13099
1;39;1128;13127
1;40;1164;13338
1;41;1152;13286
1;42;1108;13266
1;43;1175;13591
1;44;1145;13464
1;45;1127;13578
1;46;1127;13578
1;47;1178;13455
1;48;1126;13076
1;49;1233;13441
1;50;1248;13505
1;51;1238;13985
1;52;1322;14344
1;53;1314;14307
1;54;1337;14407
1;55;1332;14385
1;56;1332;14385
1;57;1489;15032
1;58;1207;13736
1;59;1294;14101
1;60;1281;14047
1;61;1308;14156
1;62;1308;14156
1;63;1369;14159
1;64;1124;13515
1;65;1158;13528
1;66;1156;13736
1;67;1153;13724
1;68;1157;13743
1;69;1083;13565
1;70;1154;13520
1;71;1170;13462
1;72;1178;13620
1;73;1234;13444
1;74;1214;13770
1;75;1233;13847
1;76;1273;13886
1;77;1106;12911
1;78;1083;12816
1;79;1017;12871
1;80;1031;13104
1;81;1092;13181
1;82;1166;13365
1;83;1262;13887
1;84;1257;13967
1;85;1342;14223
1;86;1334;14193
1;87;1387;14415
1;88;1384;14403
1;89;1319;14226
1;90;1391;14305
1;91;1357;14293
1;92;1439;14509
1;93;1451;14557
1;94;1446;14539
1;95;1445;14664
1;96;1257;14091
1;97;1247;13923
1;98;1298;14010
1;99;1173;13742
1;100;1162;13573
1;101;1156;13547
1;102;1217;13799
1;103;1207;13756
1;104;1142;13487
1;105;1052;12855
1;106;1119;13134
1;107;1121;13142
1;108;1382;14380
1;109;1384;14390
1;110;1424;14553
1;111;1430;14580
1;112;1394;14429
1;113;1487;14689
1;114;1477;14649
1;115;1467;14607
1;116;1528;14988
1;117;1529;14990
1;118;1436;14482
1;119;1461;14586
1;120;1401;14460
1;121;1401;14460
1;122;1261;13714
1;123;1291;13843
1;124;1322;13968
1;125;1348;13953
1;126;1357;13990
1;127;1290;13836
1;128;1302;13886
1;129;1287;13698
1;130;1287;13698
1;131;1274;13645
1;132;1130;13172
1;133;1098;13163
1;134;1111;13214
1;135;1129;13288
1;136;1150;13373
1;137;1175;13353
1;138;1184;13391
1;139;1160;13299
1;140;1160;13299
1;141;1183;13394
1;142;1215;13401
1;143;1202;13349
1;144;1165;13195
1;145;1163;13184
1;146;1087;13025
1;147;1106;12969
1;148;1106;12969
1;149;1106;12969
1;150;1053;12787
1;151;1003;7436
1;152;1154;7401
1;153;1154;7401
1;154;1055;7281
1;155;1055;7283
1;156;1063;7008
1;157;842;6390
1;158;872;6516
1;159;392;1750
1;160;394;1777
1;161;394;1777
1;162;329;1204
1;163;361;1244
1;164;309;1385
1;165;314;967
1;166;324;1220
1;167;128;411
1;168;144;480
1;169;120;250
1;170;364;1283
1;171;1148;13415
2;1;106;317
2;2;0;0
2;3;0;0
2;4;0;0
2;5;444;1857
2;6;828;10352
2;7;830;10363
2;8;839;10400
2;9;892;10848
2;10;892;10848
2;11;890;10837
2;12;890;10837
2;13;890;10837
2;14;890;10837
2;15;916;10820
2;16;914;10812
2;17;892;10715
2;18;865;10730
2;19;879;10790
2;20;909;10919
2;21;909;10919
2;22;959;10891
2;23;1039;11228
2;24;1027;11180
2;25;1112;13859
2;26;1072;11367
2;27;1195;11631
2;28;1171;14102
2;29;967;10926
2;30;980;10857
2;31;910;10692
2;32;966;12453
2;33;966;12453
2;34;1019;12672
2;35;1045;12782
2;36;1038;12751
2;37;1045;12780
2;38;1075;12906
2;39;1082;12934
2;40;1118;13145
2;41;1106;13093
2;42;1062;13073
2;43;1129;13398
2;44;1099;13271
2;45;1081;13385
2;46;1081;13385
2;47;1132;13262
2;48;1080;12883
2;49;1187;13248
2;50;1202;13312
2;51;1192;13792
2;52;1276;14151
2;53;1268;14114
2;54;1291;14214
2;55;1286;14192
2;56;1286;14192
2;57;1443;14839
2;58;1161;13543
2;59;1248;13908
2;60;1235;13854
2;61;1262;13963
2;62;1262;13963
2;63;1323;13966
2;64;1078;13322
2;65;1112;13335
2;66;1110;13543
2;67;1107;13531
2;68;1111;13550
2;69;1037;13372
2;70;1108;13327
2;71;1124;13269
2;72;1132;13427
2;73;1188;13251
2;74;1168;13577
2;75;1187;13654
2;76;1227;13693
2;77;1060;12718
2;78;1037;12623
2;79;971;12678
2;80;985;12911
2;81;1046;12988
2;82;1120;13172
2;83;1216;13694
2;84;1211;13774
2;85;1296;14030
2;86;1288;14000
2;87;1341;14222
2;88;1338;14210
2;89;1273;14033
2;90;1345;14112
2;91;1311;14100
2;92;1393;14316
2;93;1405;14364
2;94;1400;14346
2;95;1399;14471
2;96;1211;13898
2;97;1201;13730
2;98;1252;13817
2;99;1127;13549
2;100;1116;13380
2;101;1110;13354
2;102;1171;13606
2;103;1161;13563
2;104;1096;13294
2;105;1006;12662
2;106;1073;12941
2;107;1075;12949
2;108;1336;14187
2;109;1338;14197
2;110;1378;14360
2;111;1384;14387
2;112;1348;14236
2;113;1441;14496
2;114;1431;14456
2;115;1421;14414
2;116;1482;14795
2;117;1483;14797
2;118;1390;14289
2;119;1415;14393
2;120;1355;14267
2;121;1355;14267
2;122;1215;13521
2;123;1245;13650
2;124;1276;13775
2;125;1302;13760
2;126;1311;13797
2;127;1244;13643
2;128;1256;13693
2;129;1241;13505
2;130;1241;13505
2;131;1228;13452
2;132;1084;12979
2;133;1052;12970
2;134;1065;13021
2;135;1083;13095
2;136;1104;13180
2;137;1129;13160
2;138;1138;13198
2;139;1114;13106
2;140;1114;13106
2;141;1137;13201
2;142;1169;13208
2;143;1156;13156
2;144;1119;13002
2;145;1117;12991
2;146;1041;12832
2;147;1060;12776
2;148;1060;12776
2;149;1060;12776
2;150;1007;12594
2;151;864;7301
2;152;1108;7208
2;153;1108;7208
2;154;916;7146
2;155;916;7148
2;156;1017;6815
2;157;703;6255
2;158;733;6381
2;159;386;1849
2;160;388;1876
2;161;388;1876
2;162;323;1303
2;163;355;1343
2;164;303;1484
2;165;308;1066
2;166;318;1319
2;167;122;510
2;168;138;579
2;169;114;349
2;170;358;1382
2;171;1102;13222
3;1;106;317
3;2;0;0
3;3;0;0
3;4;0;0
3;5;444;1857
3;6;828;10352
3;7;830;10363
3;8;839;10400
3;9;892;10848
3;10;892;10848
3;11;890;10837
3;12;890;10837
3;13;890;10837
3;14;890;10837
3;15;916;10820
3;16;914;10812
3;17;892;10715
3;18;865;10730
3;19;879;10790
3;20;909;10919
3;21;909;10919
3;22;959;10891
3;23;1039;11228
3;24;1027;11180
3;25;1112;13859
3;26;1072;11367
3;27;1195;11631
3;28;1171;14102
3;29;967;10926
3;30;980;10857
3;31;910;10692
3;32;966;12453
3;33;966;12453
3;34;1019;12672
3;35;1045;12782
3;36;1038;12751
3;37;1045;12780
3;38;1075;12906
3;39;1082;12934
3;40;1118;13145
3;41;1106;13093
3;42;1062;13073
3;43;1129;13398
3;44;1099;13271
3;45;1081;13385
3;46;1081;13385
3;47;1132;13262
3;48;1080;12883
3;49;1187;13248
3;50;1202;13312
3;51;1192;13792
3;52;1276;14151
3;53;1268;14114
3;54;1291;14214
3;55;1286;14192
3;56;1286;14192
3;57;1443;14839
3;58;1161;13543
3;59;1248;13908
3;60;1235;13854
3;61;1262;13963
3;62;1262;13963
3;63;1323;13966
3;64;1078;13322
3;65;1112;13335
3;66;1110;13543
3;67;1107;13531
3;68;1111;13550
3;69;1037;13372
3;70;1108;13327
3;71;1124;13269
3;72;1132;13427
3;73;1188;13251
3;74;1168;13577
3;75;1187;13654
3;76;1227;13693
3;77;1060;12718
3;78;1037;12623
3;79;971;12678
3;80;985;12911
3;81;1046;12988
3;82;1120;13172
3;83;1216;13694
3;84;1211;13774
3;85;1296;14030
3;86;1288;14000
3;87;1341;14222
3;88;1338;14210
3;89;1273;14033
3;90;1345;14112
3;91;1311;14100
3;92;1393;14316
3;93;1405;14364
3;94;1400;14346
3;95;1399;14471
3;96;1211;13898
3;97;1201;13730
3;98;1252;13817
3;99;1127;13549
3;100;1116;13380
3;101;1110;13354
3;102;1171;13606
3;103;1161;13563
3;104;1096;13294
3;105;1006;12662
3;106;1073;12941
3;107;1075;12949
3;108;1336;14187
3;109;1338;14197
3;110;1378;14360
3;111;1384;14387
3;112;1348;14236
3;113;1441;14496
3;114;1431;14456
3;115;1421;14414
3;116;1482;14795
3;117;1483;14797
3;118;1390;14289
3;119;1415;14393
3;120;1355;14267
3;121;1355;14267
3;122;1215;13521
3;123;1245;13650
3;124;1276;13775
3;125;1302;13760
3;126;1311;13797
3;127;1244;13643
3;128;1256;13693
3;129;1241;13505
3;130;1241;13505
3;131;1228;13452
3;132;1084;12979
3;133;1052;12970
3;134;1065;13021
3;135;1083;13095
3;136;1104;13180
3;137;1129;13160
3;138;1138;13198
3;139;1114;13106
3;140;1114;13106
3;141;1137;13201
3;142;1169;13208
3;143;1156;13156
3;144;1119;13002
3;145;1117;12991
3;146;1041;12832
3;147;1060;12776
3;148;1060;12776
3;149;1060;12776
3;150;1007;12594
3;151;864;7301
3;152;1108;7208
3;153;1108;7208
3;154;916;7146
3;155;916;7148
3;156;1017;6815
3;157;703;6255
3;158;733;6381
3;159;386;1849
3;160;388;1876
3;161;388;1876
3;162;323;1303
3;163;355;1343
3;164;303;1484
3;165;308;1066
3;166;318;1319
3;167;122;510
3;168;138;579
3;169;114;349
3;170;358;1382
3;171;1102;13222
4;1;106;317
4;2;0;0
4;3;0;0
4;4;0;0
4;5;444;1857
4;6;828;10352
4;7;830;10363
4;8;839;10400
4;9;892;10848
4;10;892;10848
4;11;890;10837
4;12;890;10837
4;13;890;10837
4;14;890;10837
4;15;916;10820
4;16;914;10812
4;17;892;10715
4;18;865;10730
4;19;879;10790
4;20;909;10919
4;21;909;10919
4;22;959;10891
4;23;1039;11228
4;24;1027;11180
4;25;1112;13859
4;26;1072;11367
4;27;1195;11631
4;28;1171;14102
4;29;967;10926
4;30;980;10857
4;31;910;10692
4;32;966;12453
4;33;966;12453
4;34;1019;12672
4;35;1045;12782
4;36;1038;12751
4;37;1045;12780
4;38;1075;12906
4;39;1082;12934
4;40;1118;13145
4;41;1106;13093
4;42;1062;13073
4;43;1129;13398
4;44;1099;13271
4;45;1081;13385
4;46;1081;13385
4;47;1132;13262
4;48;1080;12883
4;49;1187;13248
4;50;1202;13312
4;51;1192;13792
4;52;1276;14151
4;53;1268;14114
4;54;1291;14214
4;55;1286;14192
4;56;1286;14192
4;57;1443;14839
4;58;1161;13543
4;59;1248;13908
4;60;1235;13854
4;61;1262;13963
4;62;1262;13963
4;63;1323;13966
4;64;1078;13322
4;65;1112;13335
4;66;1110;13543
4;67;1107;13531
4;68;1111;13550
4;69;1037;13372
4;70;1108;13327
4;71;1124;13269
4;72;1132;13427
4;73;1188;13251
4;74;1168;13577
4;75;1187;13654
4;76;1227;13693
4;77;1060;12718
4;78;1037;12623
4;79;971;12678
4;80;985;12911
4;81;1046;12988
4;82;1120;13172
4;83;1216;13694
4;84;1211;13774
4;85;1296;14030
4;86;1288;14000
4;87;1341;14222
4;88;1338;14210
4;89;1273;14033
4;90;1345;14112
4;91;1311;14100
4;92;1393;14316
4;93;1405;14364
4;94;1400;14346
4;95;1399;14471
4;96;1211;13898
4;97;1201;13730
4;98;1252;13817
4;99;1127;13549
4;100;1116;13380
4;101;1110;13354
4;102;1171;13606
4;103;1161;13563
4;104;1096;13294
4;105;1006;12662
4;106;1073;12941
4;107;1075;12949
4;108;1336;14187
4;109;1338;14197
4;110;1378;14360
4;111;1384;14387
4;112;1348;14236
4;113;1441;14496
4;114;1431;14456
4;115;1421;14414
4;116;1482;14795
4;117;1483;14797
4;118;1390;14289
4;119;1415;14393
4;120;1355;14267
4;121;1355;14267
4;122;1215;13521
4;123;1245;13650
4;124;1276;13775
4;125;1302;13760
4;126;1311;13797
4;127;1244;13643
4;128;1256;13693
4;129;1241;13505
4;130;1241;13505
4;131;1228;13452
4;132;1084;12979
4;133;1052;12970
4;134;1065;13021
4;135;1083;13095
4;136;1104;13180
4;137;1129;13160
4;138;1138;13198
4;139;1114;13106
4;140;1114;13106
4;141;1137;13201
4;142;1169;13208
4;143;1156;13156
4;144;1119;13002
4;145;1117;12991
4;146;1041;12832
4;147;1060;12776
4;148;1060;12776
4;149;1060;12776
4;150;1007;12594
4;151;864;7301
4;152;1108;7208
4;153;1108;7208
4;154;916;7146
4;155;916;7148
4;156;1017;6815
4;157;703;6255
4;158;733;6381
4;159;386;1849
4;160;388;1876
4;161;388;1876
4;162;323;1303
4;163;355;1343
4;164;303;1484
4;165;308;1066
4;166;318;1319
4;167;122;510
4;168;138;579
4;169;114;349
4;170;358;1382
4;171;1102;13222
5;1;431;1549
5;2;410;1707
5;3;410;1707
5;4;410;1707
5;5;0;0
5;6;465;8843
5;7;467;8854
5;8;476;8891
5;9;529;9339
5;10;529;9339
5;11;527;9328
5;12;527;9328
5;13;527;9328
5;14;527;9328
5;15;553;9311
5;16;551;9303
5;17;529;9206
5;18;502;9221
5;19;516;9281
5;20;546;9410
5;21;546;9410
5;22;596;9382
5;23;676;9719
5;24;664;9671
5;25;749;12350
5;26;709;9858
5;27;832;10122
5;28;808;12593
5;29;604;9417
5;30;617;9348
5;31;547;9183
5;32;603;10944
5;33;603;10944
5;34;656;11163
5;35;682;11273
5;36;675;11242
5;37;682;11271
5;38;712;11397
5;39;719;11425
5;40;755;11636
5;41;743;11584
5;42;699;11564
5;43;766;11889
5;44;736;11762
5;45;718;11876
5;46;718;11876
5;47;769;11753
5;48;717;11374
5;49;824;11739
5;50;839;11803
5;51;829;12283
5;52;913;12642
5;53;905;12605
5;54;928;12705
5;55;923;12683
5;56;923;12683
5;57;1080;13330
5;58;798;12034
5;59;885;12399
5;60;872;12345
5;61;899;12454
5;62;899;12454
5;63;960;12457
5;64;715;11813
5;65;749;11826
5;66;747;12034
5;67;744;12022
5;68;748;12041
5;69;674;11863
5;70;745;11818
5;71;761;11760
5;72;769;11918
5;73;825;11742
5;74;805;12068
5;75;824;12145
5;76;864;12184
5;77;697;11209
5;78;674;11114
5;79;608;11169
5;80;622;11402
5;81;683;11479
5;82;757;11663
5;83;853;12185
5;84;848;12265
5;85;933;12521
5;86;925;12491
5;87;978;12713
5;88;975;12701
5;89;910;12524
5;90;982;12603
5;91;948;12591
5;92;1030;12807
5;93;1042;12855
5;94;1037;12837
5;95;1036;12962
5;96;848;12389
5;97;838;12221
5;98;889;12308
5;99;764;12040
5;100;753;11871
5;101;747;11845
5;102;808;12097
5;103;798;12054
5;104;733;11785
5;105;643;11153
5;106;710;11432
5;107;712;11440
5;108;973;12678
5;109;975;12688
5;110;1015;12851
5;111;1021;12878
5;112;985;12727
5;113;1078;12987
5;114;1068;12947
5;115;1058;12905
5;116;1119;13286
5;117;1120;13288
5;118;1027;12780
5;119;1052;12884
5;120;992;12758
5;121;992;12758
5;122;852;12012
5;123;882;12141
5;124;913;12266
5;125;939;12251
5;126;948;12288
5;127;881;12134
5;128;893;12184
5;129;878;11996
5;130;878;11996
5;131;865;11943
5;132;721;11470
5;133;689;11461
