Location ID From;Location ID To;Driving Time (s);Distance (m)
1;1;0;0
1;2;406;1690
1;3;438;1824
1;4;443;1847
1;5;456;4380
1;6;438;4457
1;7;473;4464
1;8;477;4482
1;9;577;4731
1;10;502;4418
1;11;533;4547
1;12;537;4564
1;13;436;4424
1;14;500;4713
1;15;463;4556
1;16;440;4398
1;17;445;4582
1;18;413;4052
1;19;413;4037
1;20;432;4129
1;21;457;4231
1;22;493;4384
1;23;519;4491
1;24;521;4498
1;25;534;4551
1;26;487;4359
1;27;431;3727
1;28;463;3863
1;29;474;3909
1;30;499;4012
1;31;501;4022
1;32;538;4180
1;33;605;4463
1;34;656;4679
1;35;618;4518
1;36;602;4451
1;37;544;4206
1;38;429;3715
1;39;398;3795
1;40;479;4380
1;41;447;4241
1;42;474;4228
1;43;510;4384
1;44;418;3993
1;45;470;4215
1;46;508;4374
1;47;517;2150
1;48;517;2152
1;49;487;2029
1;50;440;4381
1;51;458;1907
1;52;452;1885
1;53;425;1768
1;54;435;1810
1;55;405;3655
1;56;569;4852
1;57;492;4531
1;58;488;4516
1;59;488;4512
1;60;461;4488
1;61;550;4773
1;62;579;4895
1;63;448;4547
1;64;671;5470
1;65;642;7218
1;66;794;5602
1;67;666;5066
1;68;377;2941
1;69;388;2986
1;70;402;3046
1;71;360;1497
1;72;238;987
1;73;79;328
1;74;414;2622
1;75;434;3816
1;76;417;4026
1;77;398;3298
1;78;1869;17614
1;79;360;3006
1;80;449;3226
1;81;450;3231
1;82;439;3183
1;83;535;3586
1;84;546;3635
1;85;531;3574
1;86;566;3718
1;87;575;3756
1;88;590;4321
1;89;509;3983
1;90;524;4044
1;91;478;3853
1;92;448;3731
1;93;408;3561
1;94;427;3644
1;95;468;3813
1;96;473;3831
1;97;475;3839
1;98;499;3939
1;99;519;4023
1;100;534;4086
1;101;521;4033
1;102;457;3764
2;1;406;1690
2;2;0;0
2;3;32;135
2;4;37;158
2;5;60;256
2;6;115;786
2;7;166;1067
2;8;170;1085
2;9;272;1509
2;10;204;1224
2;11;244;1393
2;12;248;1410
2;13;121;887
2;14;173;972
2;15;136;815
2;16;103;517
2;17;110;697
2;18;134;1107
2;19;138;1174
2;20;153;1184
2;21;178;1286
2;22;214;1439
2;23;240;1546
2;24;242;1553
2;25;255;1606
2;26;208;1414
2;27;214;1836
2;28;246;1972
2;29;257;2018
2;30;282;2121
2;31;284;2131
2;32;321;2289
2;33;388;2572
2;34;439;2788
2;35;401;2627
2;36;385;2560
2;37;327;2315
2;38;212;1824
2;39;173;1762
2;40;192;1305
2;41;160;1166
2;42;191;1295
2;43;241;1633
2;44;149;1242
2;45;158;658
2;46;166;690
2;47;111;461
2;48;111;463
2;49;81;340
2;50;119;500
2;51;52;218
2;52;46;196
2;53;19;79
2;54;29;121
2;55;133;769
2;56;232;971
2;57;155;650
2;58;151;635
2;59;151;631
2;60;124;607
2;61;213;892
2;62;242;1014
2;63;113;662
2;64;336;1585
2;65;353;3307
2;66;693;5671
2;67;565;5135
2;68;276;3010
2;69;287;3055
2;70;301;3115
2;71;105;436
2;72;310;1291
2;73;349;1452
2;74;215;1075
2;75;156;828
2;76;88;370
2;77;297;3367
2;78;1768;17683
2;79;259;3075
2;80;322;2871
2;81;323;2876
2;82;312;2828
2;83;408;3231
2;84;416;2748
2;85;401;2687
2;86;380;2595
2;87;384;2608
2;88;383;2608
2;89;302;2270
2;90;317;2331
2;91;271;2140
2;92;241;2018
2;93;201;1848
2;94;220;1931
2;95;261;2100
2;96;266;2118
2;97;268;2126
2;98;292;2226
2;99;312;2310
2;100;327;2373
2;101;314;2320
2;102;250;2051
3;1;438;1824
3;2;32;135
3;3;0;0
3;4;21;93
3;5;44;191
3;6;99;721
3;7;150;1002
3;8;154;1020
3;9;256;1444
3;10;188;1159
3;11;228;1328
3;12;232;1345
3;13;105;822
3;14;157;907
3;15;120;750
3;16;87;452
3;17;94;632
3;18;118;1042
3;19;122;1109
3;20;137;1119
3;21;162;1221
3;22;198;1374
3;23;224;1481
3;24;226;1488
3;25;239;1541
3;26;192;1349
3;27;198;1771
3;28;230;1907
3;29;241;1953
3;30;266;2056
3;31;268;2066
3;32;305;2224
3;33;372;2507
3;34;423;2723
3;35;385;2562
3;36;369;2495
3;37;311;2250
3;38;196;1759
3;39;157;1697
3;40;176;1240
3;41;144;1101
3;42;175;1230
3;43;225;1568
3;44;133;1177
3;45;185;1399
3;46;196;813
3;47;141;584
3;48;141;586
3;49;111;463
3;50;109;779
3;51;82;341
3;52;76;319
3;53;49;202
3;54;31;130
3;55;124;840
3;56;216;906
3;57;139;585
3;58;135;570
3;59;135;566
3;60;108;542
3;61;197;827
3;62;226;949
3;63;97;597
3;64;320;1520
3;65;337;3242
3;66;677;5606
3;67;549;5070
3;68;260;2945
3;69;271;2990
3;70;285;3050
3;71;137;570
3;72;310;3289
3;73;381;1586
3;74;206;1146
3;75;147;899
3;76;72;305
3;77;281;3302
3;78;1752;17618
3;79;243;3010
3;80;306;2806
3;81;307;2811
3;82;296;2763
3;83;392;3166
3;84;400;2683
3;85;385;2622
3;86;364;2530
3;87;368;2543
3;88;367;2543
3;89;286;2205
3;90;301;2266
3;91;255;2075
3;92;225;1953
3;93;185;1783
3;94;204;1866
3;95;245;2035
3;96;250;2053
3;97;252;2061
3;98;276;2161
3;99;296;2245
