Location ID From,Location ID To,Driving Time (s),Distance (m)
1,1,0,0
1,2,452,5855
1,3,527,6298
1,4,504,6071
1,5,503,6070
1,6,503,6070
1,7,443,5821
1,8,443,5821
1,9,457,5878
1,10,457,5878
1,11,449,5846
1,12,449,5846
1,13,459,5884
1,14,459,5884
1,15,520,6141
1,16,520,6141
1,17,544,6238
1,18,554,6278
1,19,537,3785
1,20,532,3762
1,21,558,6430
1,22,558,6430
1,23,533,6328
1,24,522,6281
1,25,559,6432
1,26,571,3948
1,27,571,3948
1,28,575,4135
1,29,540,6493
1,30,554,6549
1,31,526,6434
1,32,533,6461
1,33,533,6461
1,34,464,6173
1,35,445,6092
1,36,518,6401
1,37,518,6401
1,38,518,6401
1,39,518,6401
1,40,518,6401
1,41,519,6403
1,42,519,6406
1,43,519,6406
1,44,519,6406
1,45,543,6507
1,46,534,6860
1,47,534,6860
1,48,507,6744
1,49,508,6751
1,50,499,6714
1,51,499,6714
1,52,531,3957
1,53,531,3957
1,54,531,3957
1,55,606,6769
1,56,587,6689
1,57,587,6689
1,58,563,6977
1,59,551,6926
1,60,565,4470
1,61,540,4365
1,62,551,4414
1,63,524,4301
1,64,550,4409
1,65,515,5144
1,66,526,3932
1,67,494,6249
1,68,516,6338
1,69,555,6506
1,70,546,6463
1,71,551,6484
1,72,528,6391
1,73,518,6347
1,74,517,6343
1,75,505,6294
1,76,748,7558
1,77,756,7593
1,78,753,7581
1,79,765,7632
1,80,765,7628
1,81,758,7601
1,82,547,6866
1,83,498,6220
1,84,540,6399
1,85,516,6299
1,86,516,6299
1,87,546,6423
1,88,565,6500
1,89,558,6471
1,90,558,6471
1,91,592,6617
1,92,643,6825
1,93,690,7021
1,94,683,6992
1,95,683,6993
1,96,675,6963
1,97,718,7141
1,98,474,6651
1,99,688,7257
1,100,688,7257
1,101,688,7257
1,102,688,7257
1,103,691,7271
1,104,687,7253
1,105,687,7253
1,106,687,7253
1,107,701,7313
1,108,701,7313
1,109,705,7328
1,110,724,7410
1,111,724,7410
1,112,724,7410
1,113,724,7409
1,114,722,7398
1,115,714,7361
1,116,714,7361
1,117,725,7413
1,118,725,7413
1,119,697,7052
1,120,664,6916
1,121,544,7207
1,122,546,7389
1,123,546,7389
1,124,573,8599
1,125,587,8657
1,126,510,7863
1,127,580,8158
1,128,535,7967
1,129,550,8058
1,130,550,8060
1,131,558,8096
1,132,558,8092
1,133,602,8475
1,134,602,8475
1,135,535,8268
1,136,543,8302
1,137,554,8405
1,138,525,8300
1,139,525,8300
1,140,559,7359
1,141,520,7187
1,142,537,7193
1,143,603,7196
1,144,604,7201
1,145,612,7236
1,146,587,7130
1,147,524,6629
1,148,546,6724
1,149,551,6743
1,150,549,6738
1,151,565,6800
1,152,564,6797
1,153,544,6714
1,154,539,6693
1,155,540,6697
1,156,543,6711
1,157,543,6711
1,158,548,6732
1,159,562,6792
1,160,555,6762
1,161,611,6989
1,162,691,7327
1,163,700,7361
1,164,660,7194
1,165,660,7194
1,166,654,7167
1,167,611,6990
1,168,611,6988
1,169,611,6988
1,170,546,6863
1,171,546,6863
1,172,546,6862
1,173,583,6874
1,174,593,6914
1,175,590,6907
1,176,591,6908
1,177,591,6908
1,178,591,6908
1,179,649,7155
1,180,682,7288
1,181,687,7305
1,182,700,7361
1,183,704,7379
1,184,704,7379
1,185,704,7379
1,186,693,7331
1,187,693,7331
1,188,693,7334
1,189,547,6866
2,1,507,6883
2,2,0,0
2,3,86,358
2,4,54,222
2,5,53,221
2,6,53,221
2,7,31,126
2,8,31,126
2,9,45,183
2,10,45,183
2,11,37,151
2,12,37,151
2,13,8,35
2,14,8,35
2,15,70,292
2,16,70,292
2,17,94,389
2,18,104,429
2,19,127,528
2,20,141,585
2,21,135,559
2,22,135,559
2,23,110,457
2,24,115,477
2,25,152,628
2,26,166,689
2,27,166,689
2,28,205,848
2,29,174,722
2,30,188,778
2,31,160,663
2,32,167,690
2,33,167,690
2,34,100,676
2,35,81,595
2,36,154,904
2,37,154,904
2,38,154,904
2,39,154,904
2,40,154,904
2,41,153,632
2,42,155,909
2,43,155,909
2,44,155,909
2,45,179,1010
2,46,170,1363
2,47,170,1363
2,48,143,1247
2,49,144,1254
2,50,135,1217
2,51,135,1217
2,52,263,2842
2,53,263,2842
2,54,263,2842
2,55,240,998
2,56,221,918
2,57,221,918
2,58,199,1480
2,59,187,1429
2,60,209,1521
2,61,249,2887
2,62,223,1580
2,63,233,2823
2,64,259,2931
2,65,265,2430
2,66,258,2817
2,67,283,4087
2,68,305,4176
2,69,344,4344
2,70,335,4301
2,71,340,4322
2,72,317,4229
2,73,307,4185
2,74,306,4181
2,75,294,4132
2,76,537,5396
2,77,545,5431
2,78,542,5419
2,79,554,5470
2,80,554,5466
2,81,547,5439
2,82,336,4704
2,83,287,4058
2,84,329,4237
2,85,305,4137
2,86,305,4137
2,87,335,4261
2,88,354,4338
2,89,347,4309
2,90,347,4309
2,91,381,4455
2,92,432,4663
2,93,479,4859
2,94,472,4830
2,95,472,4831
2,96,464,4801
2,97,507,4979
2,98,110,1154
2,99,477,5095
2,100,477,5095
2,101,477,5095
2,102,477,5095
2,103,480,5109
2,104,476,5091
2,105,476,5091
2,106,476,5091
2,107,490,5151
2,108,490,5151
2,109,494,5166
