Location ID From;Location ID To;Driving Time (s);Distance (m)
1;1;0;0
1;2;558;7252
1;3;559;7256
1;4;560;7259
1;5;560;7259
1;6;548;7294
1;7;551;7351
1;8;561;7524
1;9;561;7524
1;10;557;7452
1;11;564;7576
1;12;567;7617
1;13;575;7752
1;14;572;7703
1;15;572;7703
1;16;582;7881
1;17;582;7881
1;18;592;7902
1;19;584;7914
1;20;584;7914
1;21;590;8027
1;22;624;8197
1;23;621;8186
1;24;621;8186
1;25;633;8233
1;26;633;8233
1;27;617;8167
1;28;617;8167
1;29;631;8223
1;30;631;8223
1;31;631;8223
1;32;634;8081
1;33;634;8081
1;34;641;8107
1;35;641;8107
1;36;668;8379
1;37;668;8379
1;38;668;8379
1;39;687;8458
1;40;674;8401
1;41;674;8401
1;42;681;9248
1;43;650;8144
1;44;650;8144
1;45;650;8144
1;46;656;8170
1;47;656;8170
1;48;670;8227
1;49;670;8227
1;50;663;8196
1;51;670;8230
1;52;666;8212
1;53;666;8212
1;54;666;8212
1;55;677;9228
1;56;673;8311
1;57;669;8292
1;58;669;8292
1;59;676;8322
1;60;676;8322
1;61;680;8336
1;62;680;8336
1;63;680;8336
1;64;661;8189
1;65;661;8189
1;66;661;8189
1;67;656;8335
1;68;656;8335
1;69;677;8418
1;70;677;8418
1;71;677;8418
1;72;677;8418
1;73;677;8418
1;74;635;8246
1;75;585;7731
1;76;601;7796
1;77;601;7800
1;78;603;7809
1;79;606;7819
1;80;606;7819
1;81;620;7885
1;82;617;7870
1;83;590;7896
1;84;613;7855
1;85;620;7882
1;86;626;7907
1;87;628;7919
1;88;637;7958
1;89;637;7956
1;90;620;7883
1;91;603;7436
1;92;603;7436
1;93;596;7315
1;94;591;7295
1;95;576;7326
1;96;566;7283
1;97;566;7283
1;98;564;7275
1;99;560;7260
1;100;578;7334
1;101;583;7355
1;102;586;7367
1;103;599;7421
1;104;594;7401
1;105;598;7419
1;106;570;7667
1;107;570;7667
1;108;562;7543
1;109;562;7543
1;110;683;9258
2;1;616;7786
2;2;0;0
2;3;78;328
2;4;79;331
2;5;79;331
2;6;77;659
2;7;80;716
2;8;60;369
2;9;60;369
2;10;56;297
2;11;63;421
2;12;66;462
2;13;74;597
2;14;71;548
2;15;71;548
2;16;81;726
2;17;81;726
2;18;91;747
2;19;83;759
2;20;83;759
2;21;89;872
2;22;123;1042
2;23;120;1031
2;24;120;1031
2;25;132;1078
2;26;132;1078
2;27;116;1012
2;28;116;1012
2;29;130;1068
2;30;130;1068
2;31;130;1068
2;32;133;926
2;33;133;926
2;34;140;952
2;35;140;952
2;36;167;1224
2;37;167;1224
2;38;167;1224
2;39;186;1303
2;40;173;1246
2;41;173;1246
2;42;186;1162
2;43;149;989
2;44;149;989
2;45;149;989
2;46;155;1015
2;47;155;1015
2;48;169;1072
2;49;169;1072
2;50;162;1041
2;51;169;1075
2;52;165;1057
2;53;165;1057
2;54;165;1057
2;55;172;1102
2;56;166;1075
2;57;162;1056
2;58;162;1056
2;59;169;1086
2;60;169;1086
2;61;173;1100
2;62;173;1100
2;63;173;1100
2;64;160;1034
2;65;160;1034
2;66;160;1034
2;67;155;1180
2;68;155;1180
2;69;176;1263
2;70;176;1263
2;71;176;1263
2;72;176;1263
2;73;176;1263
2;74;134;1091
2;75;84;576
2;76;100;641
2;77;100;645
2;78;102;654
2;79;105;664
2;80;105;664
2;81;119;730
2;82;116;715
2;83;89;741
2;84;112;700
2;85;119;727
2;86;125;752
2;87;127;764
2;88;136;803
2;89;136;801
2;90;119;728
2;91;45;186
2;92;45;186
2;93;55;233
2;94;68;284
2;95;18;76
2;96;8;33
2;97;8;33
2;98;6;25
2;99;2;10
2;100;20;84
2;101;25;105
2;102;28;117
2;103;41;171
2;104;36;151
2;105;40;169
2;106;59;379
2;107;59;379
2;108;51;255
2;109;51;255
2;110;187;1308
3;1;564;7321
3;2;17;74
3;3;0;0
3;4;1;3
3;5;1;3
3;6;25;194
3;7;28;251
3;8;38;424
3;9;38;424
3;10;34;352
3;11;41;476
3;12;44;517
3;13;52;652
3;14;49;603
3;15;49;603
3;16;59;781
3;17;59;781
3;18;69;802
3;19;61;814
3;20;61;814
3;21;67;927
3;22;101;1097
3;23;98;1086
3;24;98;1086
3;25;110;1133
3;26;110;1133
3;27;94;1067
3;28;94;1067
3;29;108;1123
3;30;108;1123
3;31;108;1123
3;32;111;981
3;33;111;981
3;34;118;1007
3;35;118;1007
3;36;145;1279
3;37;145;1279
3;38;145;1279
3;39;164;1358
3;40;151;1301
3;41;151;1301
3;42;170;1225
3;43;127;1044
3;44;127;1044
3;45;127;1044
3;46;133;1070
3;47;133;1070
3;48;147;1127
3;49;147;1127
3;50;140;1096
3;51;147;1130
3;52;143;1112
3;53;143;1112
3;54;143;1112
3;55;155;1161
3;56;154;1263
3;57;150;1244
3;58;150;1244
3;59;157;1274
3;60;157;1274
3;61;161;1288
3;62;161;1288
3;63;161;1288
3;64;138;1089
3;65;138;1089
3;66;138;1089
3;67;133;1235
3;68;133;1235
3;69;154;1318
3;70;154;1318
3;71;154;1318
3;72;154;1318
3;73;154;1318
3;74;112;1146
3;75;62;631
3;76;78;696
3;77;78;700
3;78;80;709
3;79;83;719
3;80;83;719
3;81;97;785
3;82;94;770
3;83;67;796
3;84;90;755
3;85;97;782
3;86;103;807
3;87;105;819
3;88;114;858
3;89;114;856
3;90;97;783
3;91;62;258
3;92;62;258
3;93;72;305
3;94;82;443
3;95;35;148
3;96;25;105
3;97;25;105
3;98;23;97
3;99;19;82
3;100;37;156
3;101;42;177
3;102;45;189
3;103;58;243
3;104;53;223
3;105;57;241
3;106;47;567
3;107;47;567
3;108;39;443
3;109;39;443
3;110;165;1363
4;1;565;7324
4;2;18;77
4;3;1;3
4;4;0;0
4;5;0;0
4;6;26;197
4;7;29;254
4;8;39;427
4;9;39;427
4;10;35;355
4;11;42;479
4;12;45;520
4;13;53;655
4;14;50;606
4;15;50;606
4;16;60;784
4;17;60;784
4;18;70;805
4;19;62;817
4;20;62;817
4;21;68;930
4;22;102;1100
4;23;99;1089
4;24;99;1089
4;25;111;1136
4;26;111;1136
4;27;95;1070
4;28;95;1070
4;29;109;1126
4;30;109;1126
4;31;109;1126
4;32;112;984
4;33;112;984
4;34;119;1010
4;35;119;1010
4;36;146;1282
4;37;146;1282
4;38;146;1282
4;39;165;1361
4;40;152;1304
4;41;152;1304
4;42;171;1228
4;43;128;1047
4;44;128;1047
4;45;128;1047
4;46;134;1073
4;47;134;1073
4;48;148;1130
4;49;148;1130
4;50;141;1099
4;51;148;1133
4;52;144;1115
4;53;144;1115
4;54;144;1115
4;55;156;1164
4;56;155;1266
4;57;151;1247
4;58;151;1247
4;59;158;1277
4;60;158;1277
4;61;162;1291
4;62;162;1291
4;63;162;1291
4;64;139;1092
4;65;139;1092
4;66;139;1092
4;67;134;1238
4;68;134;1238
4;69;155;1321
4;70;155;1321
4;71;155;1321
4;72;155;1321
4;73;155;1321
4;74;113;1149
4;75;63;634
4;76;79;699
4;77;79;703
4;78;81;712
4;79;84;722
4;80;84;722
4;81;98;788
4;82;95;773
4;83;68;799
4;84;91;758
4;85;98;785
4;86;104;810
4;87;106;822
4;88;115;861
4;89;115;859
4;90;98;786
4;91;63;261
4;92;63;261
4;93;73;308
4;94;83;446
4;95;36;151
4;96;26;108
4;97;26;108
4;98;24;100
4;99;20;85
4;100;38;159
4;101;43;180
4;102;46;192
4;103;59;246
4;104;54;226
4;105;58;244
4;106;48;570
4;107;48;570
4;108;40;446
4;109;40;446
4;110;166;1366
5;1;565;7324
5;2;18;77
5;3;1;3
5;4;0;0
5;5;0;0
5;6;26;197
5;7;29;254
5;8;39;427
5;9;39;427
5;10;35;355
5;11;42;479
5;12;45;520
5;13;53;655
5;14;50;606
5;15;50;606
5;16;60;784
5;17;60;784
5;18;70;805
5;19;62;817
5;20;62;817
5;21;68;930
5;22;102;1100
5;23;99;1089
5;24;99;1089
5;25;111;1136
5;26;111;1136
5;27;95;1070
5;28;95;1070
5;29;109;1126
5;30;109;1126
5;31;109;1126
5;32;112;984
5;33;112;984
5;34;119;1010
5;35;119;1010
5;36;146;1282
5;37;146;1282
5;38;146;1282
5;39;165;1361
