Location ID From;Location ID To;Driving Time (s);Distance (m)
1;1;0;0
1;2;480;6202
1;3;611;6750
1;4;607;6733
1;5;639;6857
1;6;725;8063
1;7;725;8063
1;8;729;8080
1;9;684;7887
1;10;566;7394
1;11;566;7394
1;12;530;7239
1;13;575;8292
1;14;595;8378
1;15;595;8378
1;16;585;8452
1;17;585;8452
1;18;643;8193
1;19;735;8578
1;20;815;8910
1;21;738;8338
1;22;738;8338
1;23;785;8785
1;24;551;7824
1;25;654;8326
1;26;629;8223
1;27;596;8304
1;28;585;8259
1;29;660;9082
1;30;664;9099
1;31;704;9263
1;32;721;9334
1;33;768;9529
1;34;802;9674
1;35;799;9658
1;36;777;9568
1;37;778;10204
1;38;753;9467
1;39;759;9492
1;40;773;9548
1;41;760;9506
1;42;750;9462
1;43;741;9424
1;44;774;8821
1;45;772;8813
1;46;787;8881
1;47;788;8884
1;48;779;8845
1;49;811;8981
1;50;825;9034
1;51;780;8848
1;52;857;9174
1;53;859;9180
1;54;814;8993
1;55;844;9120
1;56;844;9121
1;57;851;9149
1;58;841;9108
1;59;840;9106
1;60;835;9087
1;61;827;9042
1;62;830;9052
1;63;690;8478
1;64;703;8535
1;65;663;8363
1;66;664;8367
1;67;695;8499
1;68;632;8233
1;69;576;7941
1;70;687;8459
1;71;762;8775
1;72;756;8753
1;73;780;8855
1;74;780;8855
1;75;889;9308
1;76;844;9118
1;77;833;9071
1;78;841;9103
1;79;745;8702
1;80;773;8821
1;81;797;8919
1;82;797;8916
1;83;827;9036
1;84;834;9064
1;85;828;9044
1;86;814;8991
1;87;846;9124
1;88;872;9234
1;89;851;9143
1;90;837;9083
1;91;823;9027
1;92;810;8980
1;93;774;8824
1;94;745;8704
1;95;751;8731
1;96;780;8851
1;97;700;8520
1;98;699;8517
1;99;705;8539
1;100;680;8437
1;101;692;8483
1;102;695;8495
1;103;664;7740
1;104;615;7533
1;105;542;7228
1;106;591;7430
1;107;588;7421
1;108;574;7423
1;109;574;7423
1;110;597;7518
1;111;600;7527
1;112;690;7843
1;113;629;7654
1;114;629;7650
1;115;631;7662
1;116;586;7468
2;1;481;6145
2;2;0;0
2;3;145;608
2;4;141;591
2;5;173;715
2;6;287;1201
2;7;287;1201
2;8;291;1218
2;9;246;1025
2;10;172;1550
2;11;172;1550
2;12;136;1395
2;13;181;2448
2;14;201;2534
2;15;201;2534
2;16;191;2608
2;17;191;2608
2;18;249;2349
2;19;341;2734
2;20;421;3066
2;21;399;3494
2;22;399;3494
2;23;391;2941
2;24;157;1980
2;25;260;2482
2;26;235;2379
2;27;202;2460
2;28;191;2415
2;29;266;3238
2;30;270;3255
2;31;310;3419
2;32;327;3490
2;33;374;3685
2;34;408;3830
2;35;405;3814
2;36;383;3724
2;37;384;4360
2;38;359;3623
2;39;365;3648
2;40;379;3704
2;41;366;3662
2;42;356;3618
2;43;347;3580
2;44;380;2977
2;45;378;2969
2;46;393;3037
2;47;394;3040
2;48;385;3001
2;49;417;3137
2;50;431;3190
2;51;386;3004
2;52;463;3330
2;53;465;3336
2;54;420;3149
2;55;450;3276
2;56;450;3277
2;57;457;3305
2;58;447;3264
2;59;446;3262
2;60;441;3243
2;61;433;3198
2;62;436;3208
2;63;296;2634
2;64;309;2691
2;65;269;2519
2;66;270;2523
2;67;301;2655
2;68;238;2389
2;69;182;2097
2;70;293;2615
2;71;368;2931
2;72;362;2909
2;73;386;3011
2;74;386;3011
2;75;495;3464
2;76;450;3274
2;77;439;3227
2;78;447;3259
2;79;351;2858
2;80;379;2977
2;81;403;3075
2;82;403;3072
2;83;433;3192
2;84;440;3220
2;85;434;3200
2;86;420;3147
2;87;452;3280
2;88;478;3390
2;89;457;3299
2;90;443;3239
2;91;429;3183
2;92;416;3136
2;93;380;2980
2;94;351;2860
2;95;357;2887
2;96;386;3007
2;97;306;2676
2;98;305;2673
2;99;311;2695
2;100;286;2593
2;101;298;2639
2;102;301;2651
2;103;270;1896
2;104;221;1689
2;105;148;1384
2;106;197;1586
2;107;194;1577
2;108;180;1579
2;109;180;1579
2;110;203;1674
2;111;206;1683
2;112;296;1999
2;113;235;1810
2;114;235;1806
2;115;237;1818
2;116;192;1624
3;1;612;6693
3;2;145;608
3;3;0;0
3;4;80;336
3;5;54;227
3;6;156;659
3;7;156;659
3;8;160;676
3;9;115;483
3;10;58;246
3;11;58;246
3;12;133;567
3;13;192;1676
3;14;212;1762
3;15;212;1762
3;16;202;1836
3;17;202;1836
3;18;260;1577
3;19;352;1962
3;20;432;2294
3;21;410;2722
3;22;410;2722
3;23;402;2169
3;24;168;1208
3;25;315;2448
3;26;290;2345
3;27;257;2426
3;28;246;2381
3;29;321;3204
3;30;325;3221
3;31;365;3385
3;32;382;3456
3;33;429;3651
3;34;463;3796
3;35;460;3780
3;36;438;3690
3;37;439;4326
3;38;414;3589
3;39;420;3614
3;40;434;3670
3;41;421;3628
3;42;411;3584
3;43;402;3546
3;44;435;2943
3;45;433;2935
3;46;448;3003
3;47;449;3006
3;48;440;2967
3;49;472;3103
3;50;486;3156
3;51;441;2970
3;52;518;3296
3;53;520;3302
3;54;475;3115
3;55;505;3242
3;56;505;3243
3;57;512;3271
3;58;502;3230
3;59;501;3228
3;60;496;3209
3;61;488;3164
3;62;491;3174
3;63;351;2600
3;64;364;2657
3;65;324;2485
3;66;325;2489
3;67;356;2621
3;68;293;2355
3;69;237;2063
3;70;348;2581
3;71;423;2897
3;72;417;2875
3;73;441;2977
3;74;441;2977
3;75;550;3430
3;76;505;3240
3;77;494;3193
3;78;502;3225
3;79;406;2824
3;80;434;2943
3;81;458;3041
3;82;458;3038
3;83;488;3158
3;84;495;3186
3;85;489;3166
3;86;475;3113
3;87;507;3246
3;88;533;3356
3;89;512;3265
3;90;498;3205
3;91;484;3149
3;92;471;3102
3;93;435;2946
3;94;406;2826
3;95;412;2853
3;96;441;2973
3;97;361;2642
3;98;360;2639
3;99;366;2661
3;100;341;2559
3;101;353;2605
3;102;356;2617
3;103;325;1862
3;104;276;1655
3;105;200;844
3;106;237;996
3;107;234;987
3;108;191;807
3;109;191;807
3;110;214;902
3;111;217;911
3;112;334;1394
3;113;246;1038
3;114;246;1034
3;115;248;1046
3;116;149;630
4;1;608;6676
4;2;141;591
4;3;80;336
