Location ID From,Location ID To,Driving Time (s),Distance (m)
1,1,0,0
1,2,1398,28946
1,3,1398,28946
1,4,1357,28777
1,5,1329,28660
1,6,1364,29063
1,7,1364,29063
1,8,1364,29063
1,9,1364,29063
1,10,1364,29063
1,11,1364,29063
1,12,1373,29172
1,13,1346,29119
1,14,1378,29410
1,15,1377,29657
1,16,1408,29489
1,17,1414,29515
1,18,1414,29515
1,19,1405,29477
1,20,1416,29521
1,21,1423,29549
1,22,1433,29589
1,23,1433,29589
1,24,1436,29603
1,25,1453,29674
1,26,1471,29750
1,27,1484,29801
1,28,1485,29805
1,29,1497,30516
1,30,1526,29981
1,31,1472,30412
1,32,1439,30276
1,33,1501,30532
1,34,1459,29699
1,35,1429,30526
1,36,1417,30317
1,37,1445,30520
1,38,1456,30653
1,39,1505,31309
1,40,1476,31303
1,41,1483,31353
1,42,1493,31530
1,43,1498,31578
1,44,1505,31646
1,45,1545,31847
1,46,1541,31772
1,47,1546,31644
1,48,1367,28848
1,49,1311,28476
1,50,1340,29171
1,51,1328,29120
1,52,1335,28352
1,53,1332,28338
1,54,1299,28201
1,55,1296,28297
1,56,1385,29070
1,57,1407,29163
1,58,1407,29163
1,59,1406,29157
1,60,1412,29183
1,61,1400,29134
1,62,1522,29644
1,63,1522,29644
1,64,1439,29290
1,65,1422,29223
1,66,1431,29257
1,67,1434,29273
1,68,1493,29515
1,69,1462,29390
1,70,1510,29593
1,71,1506,30066
1,72,1516,30108
1,73,1545,30230
1,74,1532,30172
1,75,1532,30174
1,76,1441,29794
1,77,1413,29676
1,78,1413,29676
1,79,1421,29711
1,80,1454,29849
1,81,1462,29880
1,82,1462,29880
1,83,1401,29627
1,84,1464,29887
1,85,1464,29887
1,86,1594,30431
1,87,1504,30544
1,88,1556,30763
1,89,1533,30668
1,90,1543,30703
1,91,1543,30704
1,92,1555,30753
1,93,1470,30402
1,94,1512,30579
1,95,1517,30599
1,96,1538,30687
1,97,1540,30696
1,98,1286,26060
1,99,1269,25992
1,100,1316,26186
1,101,1198,25691
1,102,1433,29589
2,1,1366,28196
2,2,0,0
2,3,0,0
2,4,87,361
2,5,70,288
2,6,130,797
2,7,130,797
2,8,130,797
2,9,130,797
2,10,130,797
2,11,130,797
2,12,139,906
2,13,112,853
2,14,144,1144
2,15,143,1391
2,16,174,1223
2,17,180,1249
2,18,180,1249
