Location ID,X Coord (UTM),Y Coord (UTM),Time Window Open (HH:MM),Time Window Close (HH:MM),Handling Time (s),AMCS ID
2,790123,6310096,04:00,20:00,76,2028
3,790281,6310134,04:00,20:00,76,2029
4,790464,6310702,04:00,20:00,76,2030
5,790478,6310620,04:00,20:00,116,2031
6,790434,6310465,04:00,20:00,76,2032
7,790617,6310382,04:00,20:00,76,2033
8,790617,6310382,04:00,20:00,76,2034
9,790716,6310441,04:00,20:00,76,2035
10,790760,6310413,04:00,20:00,76,2036
11,790691,6310509,04:00,20:00,76,2037
12,790651,6310528,04:00,20:00,76,2038
13,790689,6310543,04:00,20:00,76,2039
14,790677,6310492,04:00,20:00,76,2040
15,791835,6311109,04:00,20:00,76,2041
16,791983,6310825,04:00,20:00,96,2042
17,791834,6310776,04:00,20:00,76,2043
18,792732,6311455,04:00,20:00,76,2044
19,792277,6311490,04:00,20:00,76,2045
20,792230,6311440,04:00,20:00,76,2046
21,792116,6311416,04:00,20:00,76,2047
22,792116,6311416,04:00,20:00,76,2048
23,792116,6311416,04:00,20:00,76,2049
24,792057,6311395,04:00,20:00,116,2050
25,792062,6311529,04:00,20:00,96,2051
26,792042,6311636,04:00,20:00,156,2052
27,792191,6311736,04:00,20:00,76,2053
28,792293,6311727,04:00,20:00,76,2054
29,792293,6311727,04:00,20:00,96,2055
30,792293,6311727,04:00,20:00,116,2056
31,792362,6311731,04:00,20:00,76,2057
32,792414,6311531,04:00,20:00,116,2058
33,792413,6311499,04:00,20:00,76,2059
34,792415,6311514,04:00,20:00,96,2060
35,792418,6311642,04:00,20:00,96,2061
36,792416,6311682,04:00,20:00,76,2062
37,792416,6311682,04:00,20:00,76,2063
38,792416,6311682,04:00,20:00,76,2064
39,792409,6311799,04:00,20:00,76,2065
40,792240,6311725,04:00,20:00,116,2066
41,792175,6311732,04:00,20:00,76,2067
42,792022,6311718,04:00,20:00,76,2068
43,792022,6311718,04:00,20:00,96,2069
44,791985,6311708,04:00,20:00,296,2070
45,791947,6311770,04:00,20:00,166,2071
46,791863,6311705,04:00,20:00,216,2072
47,791630,6311608,04:00,20:00,116,2073
48,791691,6311549,04:00,20:00,96,2074
49,791892,6311328,04:00,20:00,76,2075
50,791817,6311499,04:00,20:00,156,2076
51,791817,6311499,04:00,20:00,206,2077
52,791828,6311649,04:00,20:00,96,2078
53,791833,6311634,04:00,20:00,76,2079
54,791951,6311539,04:00,20:00,76,2080
55,791989,6311407,04:00,20:00,76,2081
56,791996,6311383,04:00,20:00,76,2082
57,791996,6311383,04:00,20:00,76,2083
58,791996,6311383,04:00,20:00,76,2084
59,791995,6311318,04:00,20:00,116,2085
60,791295,6312236,04:00,20:00,76,2086
61,791310,6312133,04:00,20:00,76,2087
62,791534,6313945,04:00,20:00,76,2088
63,791959,6311512,04:00,20:00,96,2089
