Location ID,X Coord (UTM),Y Coord (UTM),Time Window Open (HH:MM),Time Window Close (HH:MM),Handling Time (s),AMCS ID
2,787466,6356962,04:00,20:00,106,2090
3,787453,6357185,04:00,20:00,226,2091
4,787453,6357185,04:00,20:00,136,2092
5,787487,6357186,04:00,20:00,166,2093
6,787502,6357186,04:00,20:00,166,2094
7,787693,6357295,04:00,20:00,106,2095
8,787671,6357226,04:00,20:00,166,2096
9,787650,6357225,04:00,20:00,136,2097
10,787761,6356336,04:00,20:00,76,2098
11,787914,6356389,04:00,20:00,136,2099
12,787873,6356297,04:00,20:00,196,2100
13,788051,6356606,04:00,20:00,76,2101
14,788175,6356628,04:00,20:00,76,2102
15,788168,6356663,04:00,20:00,76,2103
16,788134,6356642,04:00,20:00,76,2104
17,787978,6356804,04:00,20:00,76,2105
18,788235,6356912,04:00,20:00,76,2106
19,788280,6356895,04:00,20:00,136,2107
20,788280,6356895,04:00,20:00,76,2108
21,788324,6356820,04:00,20:00,76,2109
22,788540,6356693,04:00,20:00,76,2110
23,788479,6356738,04:00,20:00,76,2111
24,788470,6356636,04:00,20:00,76,2112
25,788560,6356626,04:00,20:00,76,2113
26,788481,6356551,04:00,20:00,76,2114
27,788305,6356771,04:00,20:00,76,2115
28,788384,6356711,04:00,20:00,76,2116
29,788562,6356796,04:00,20:00,96,2117
30,788410,6356916,04:00,20:00,76,2118
31,788326,6356976,04:00,20:00,76,2119
32,788358,6357102,04:00,20:00,76,2120
33,788422,6357093,04:00,20:00,76,2121
34,788392,6357073,04:00,20:00,76,2122
35,788292,6357157,04:00,20:00,76,2123
36,788317,6357257,04:00,20:00,76,2124
37,788325,6357245,04:00,20:00,76,2125
38,788325,6357245,04:00,20:00,76,2126
39,788675,6357094,04:00,20:00,76,2127
40,788860,6357423,04:00,20:00,76,2128
41,788778,6357288,04:00,20:00,76,2129
42,788911,6357605,04:00,20:00,136,2130
43,788905,6357566,04:00,20:00,76,2131
44,788741,6357595,04:00,20:00,96,2132
45,788762,6357517,04:00,20:00,76,2133
46,788641,6357471,04:00,20:00,106,2134
47,788513,6357300,04:00,20:00,76,2135
48,788717,6357213,04:00,20:00,96,2136
49,788725,6357206,04:00,20:00,76,2137
50,788736,6357193,04:00,20:00,76,2138
51,788711,6356928,04:00,20:00,76,2139
52,788704,6356917,04:00,20:00,76,2140
53,788740,6356691,04:00,20:00,76,2141
54,788490,6356461,04:00,20:00,76,2142
55,788531,6356236,04:00,20:00,76,2143
56,788189,6356290,04:00,20:00,76,2144
57,788112,6356381,04:00,20:00,76,2145
58,788070,6356228,04:00,20:00,76,2146
59,788016,6356288,04:00,20:00,76,2147
60,788016,6356288,04:00,20:00,76,2148
61,787820,6356088,04:00,20:00,116,2149
62,787883,6356116,04:00,20:00,76,2150
63,787933,6356105,04:00,20:00,76,2151
64,787991,6356551,04:00,20:00,76,2152
65,788016,6356705,04:00,20:00,76,2153
66,788035,6356710,04:00,20:00,126,2154
67,788259,6356646,04:00,20:00,76,2155
68,787959,6356861,04:00,20:00,296,2156
69,787905,6357016,04:00,20:00,96,2157
70,787907,6356994,04:00,20:00,76,2158
71,787826,6357113,04:00,20:00,60,2159
72,787826,6357113,06:00,11:00,60,2160
73,788052,6357140,04:00,20:00,76,2161
74,788073,6357154,04:00,20:00,96,2162
75,788255,6357343,04:00,20:00,76,2163
76,787864,6357229,04:00,20:00,76,2164
77,788009,6357270,04:00,20:00,76,2165
78,787897,6357755,04:00,20:00,76,2166
79,787916,6357766,04:00,20:00,76,2167
80,788321,6358182,04:00,20:00,96,2168
81,788316,6358497,04:00,20:00,76,2169
82,788368,6358574,04:00,20:00,136,2170
83,788678,6358360,04:00,20:00,76,2171
84,788514,6358465,04:00,20:00,76,2172
85,788484,6358487,04:00,20:00,76,2173
86,788418,6358453,04:00,20:00,76,2174
87,788133,6358439,04:00,20:00,76,2175
88,788133,6358439,04:00,20:00,76,2176
89,788107,6358417,04:00,20:00,76,2177
90,788085,6358458,04:00,20:00,76,2178
91,787867,6358501,04:00,20:00,116,2179
92,787925,6358546,04:00,20:00,76,2180
93,787865,6358582,04:00,20:00,76,2181
94,787861,6358628,04:00,20:00,76,2182
95,787861,6358629,04:00,20:00,76,2183
