Location ID,X Coord (UTM),Y Coord (UTM),Time Window Open (HH:MM),Time Window Close (HH:MM),Handling Time (s),AMCS ID
2,570233,6362428,04:00,20:00,76,2229
3,570233,6362428,04:00,20:00,76,2230
4,570233,6362428,04:00,20:00,76,2231
5,570589,6362141,04:00,20:00,76,2232
6,562272,6363224,04:00,20:00,106,2233
7,562261,6363225,04:00,20:00,76,2234
8,562224,6363224,04:00,20:00,76,2235
9,562214,6363119,04:00,20:00,76,2236
10,562214,6363119,04:00,20:00,76,2237
11,562220,6363109,04:00,20:00,106,2238
12,562220,6363109,04:00,20:00,106,2239
13,562220,6363109,04:00,20:00,106,2240
14,562220,6363109,04:00,20:00,106,2241
15,562205,6362983,04:00,20:00,76,2242
16,562216,6363019,04:00,20:00,76,2243
17,562260,6362886,04:00,20:00,76,2244
18,562277,6363019,04:00,20:00,266,2245
19,562266,6363066,04:00,20:00,106,2246
20,562179,6363178,04:00,20:00,76,2247
21,562179,6363178,04:00,20:00,76,2248
22,561860,6363005,04:00,20:00,76,2249
23,561840,6362974,04:00,20:00,76,2250
24,561761,6362953,04:00,20:00,76,2251
25,561599,6362734,04:00,20:00,76,2252
26,561484,6362749,04:00,20:00,76,2253
27,561333,6362644,04:00,20:00,76,2254
28,561660,6362723,04:00,20:00,76,2255
29,561838,6362879,04:00,20:00,76,2256
30,561943,6362939,04:00,20:00,76,2257
31,561991,6363057,04:00,20:00,96,2258
32,562968,6360616,04:00,20:00,76,2259
33,562968,6360616,04:00,20:00,76,2260
34,562750,6360626,04:00,20:00,76,2261
35,562758,6360704,04:00,20:00,76,2262
36,562925,6360799,04:00,20:00,76,2263
37,562835,6360857,04:00,20:00,76,2264
38,562784,6360973,04:00,20:00,76,2265
39,562771,6360997,04:00,20:00,76,2266
40,562766,6360948,04:00,20:00,76,2267
41,562723,6360923,04:00,20:00,76,2268
42,562428,6360865,04:00,20:00,96,2269
43,562596,6361062,04:00,20:00,76,2270
44,562487,6360996,04:00,20:00,256,2271
45,562217,6361088,04:00,20:00,76,2272
46,562217,6361088,04:00,20:00,96,2273
47,562376,6360732,04:00,20:00,76,2274
48,562586,6360693,04:00,20:00,76,2275
49,562480,6360274,04:00,20:00,76,2276
50,562527,6360228,04:00,20:00,76,2277
51,562504,6360080,04:00,20:00,76,2278
52,562297,6359988,04:00,20:00,76,2279
53,562151,6360077,04:00,20:00,76,2280
54,562218,6360110,04:00,20:00,76,2281
55,562196,6360108,04:00,20:00,76,2282
56,562196,6360108,04:00,20:00,96,2283
57,562132,6360419,04:00,20:00,76,2284
58,562541,6359909,04:00,20:00,76,2285
59,562348,6359737,04:00,20:00,76,2286
60,562475,6359637,04:00,20:00,96,2287
61,562451,6359553,04:00,20:00,76,2288
62,562451,6359553,04:00,20:00,76,2289
63,562553,6359599,04:00,20:00,76,2290
64,562702,6359960,04:00,20:00,76,2291
65,562810,6359890,04:00,20:00,76,2292
66,562792,6359754,04:00,20:00,76,2293
67,562844,6359719,04:00,20:00,76,2294
68,562939,6359616,04:00,20:00,76,2295
69,562977,6359825,04:00,20:00,96,2296
70,562764,6360121,04:00,20:00,76,2297
71,562816,6360046,04:00,20:00,76,2298
72,562894,6360181,04:00,20:00,76,2299
73,562563,6360441,04:00,20:00,76,2300
74,562648,6360284,04:00,20:00,76,2301
75,562585,6360326,04:00,20:00,76,2302
76,562984,6360221,04:00,20:00,106,2303
77,562924,6360407,04:00,20:00,76,2304
78,562917,6360502,04:00,20:00,76,2305
79,563039,6360352,04:00,20:00,136,2306
80,563053,6360120,04:00,20:00,76,2307
81,563199,6360172,04:00,20:00,76,2308
82,563333,6360212,04:00,20:00,116,2309
83,563476,6360054,04:00,20:00,76,2310
84,563592,6359972,04:00,20:00,76,2311
85,563541,6359684,04:00,20:00,76,2312
86,563541,6359655,04:00,20:00,76,2313
87,563325,6359646,04:00,20:00,76,2314
88,563552,6359491,04:00,20:00,76,2315
89,563486,6359400,04:00,20:00,76,2316
90,563709,6359431,04:00,20:00,76,2317
91,563688,6359428,04:00,20:00,76,2318
92,563710,6359222,04:00,20:00,76,2319
93,563759,6359225,04:00,20:00,76,2320
94,563740,6359223,04:00,20:00,76,2321
95,563493,6359300,04:00,20:00,76,2322
96,563203,6359198,04:00,20:00,76,2323
97,563207,6359408,04:00,20:00,76,2324
98,563266,6359476,04:00,20:00,76,2325
99,563145,6359540,04:00,20:00,96,2326
100,563174,6359753,04:00,20:00,76,2327
101,563172,6359779,04:00,20:00,76,2328
102,563389,6359755,04:00,20:00,76,2329
103,563387,6359798,04:00,20:00,76,2330
104,563158,6359969,04:00,20:00,76,2331
105,563068,6360389,04:00,20:00,76,2332
106,563279,6360478,04:00,20:00,76,2333
107,563226,6360440,04:00,20:00,76,2334
108,564111,6360145,04:00,20:00,76,2335
109,564188,6360178,04:00,20:00,76,2336
110,564191,6360060,04:00,20:00,76,2337
111,564220,6360033,04:00,20:00,76,2338
112,564226,6360168,04:00,20:00,76,2339
113,564398,6360209,04:00,20:00,76,2340
114,564388,6360165,04:00,20:00,76,2341
115,564373,6360119,04:00,20:00,76,2342
116,564406,6360300,04:00,20:00,76,2343
117,564521,6360373,04:00,20:00,76,2344
118,564231,6360230,04:00,20:00,76,2345
119,564217,6360323,04:00,20:00,76,2346
120,564203,6360155,04:00,20:00,76,2347
121,564203,6360155,04:00,20:00,76,2348
122,563767,6360614,04:00,20:00,76,2349
123,564003,6360633,04:00,20:00,76,2350
124,564051,6360786,04:00,20:00,76,2351
125,563939,6360771,04:00,20:00,76,2352
126,563983,6360803,04:00,20:00,76,2353
127,563800,6360836,04:00,20:00,76,2354
128,563845,6360811,04:00,20:00,76,2355
129,563667,6360733,04:00,20:00,76,2356
130,563667,6360733,04:00,20:00,76,2357
131,563628,6360682,04:00,20:00,76,2358
132,563481,6360709,04:00,20:00,76,2359
133,563339,6360674,04:00,20:00,76,2360
134,563315,6360631,04:00,20:00,76,2361
135,563319,6360541,04:00,20:00,76,2362
136,563233,6360559,04:00,20:00,76,2363
137,563440,6360505,04:00,20:00,76,2364
138,563471,6360482,04:00,20:00,76,2365
139,563364,6360807,04:00,20:00,76,2366
140,563364,6360807,04:00,20:00,76,2367
141,563407,6361099,04:00,20:00,76,2368
142,563347,6361098,04:00,20:00,76,2369
143,563256,6360956,04:00,20:00,76,2370
144,563177,6360802,04:00,20:00,76,2371
145,563295,6360880,04:00,20:00,76,2372
146,563037,6360960,04:00,20:00,116,2373
147,563053,6360718,04:00,20:00,76,2374
148,563053,6360718,04:00,20:00,76,2375
149,563053,6360718,04:00,20:00,176,2376
150,563160,6360668,04:00,20:00,76,2377
151,566350,6362965,04:00,20:00,96,2378
152,566436,6362947,04:00,20:00,76,2379
153,566436,6362947,04:00,20:00,76,2380
154,566338,6362698,04:00,20:00,106,2381
155,566334,6362696,04:00,20:00,96,2382
156,566279,6362597,04:00,20:00,76,2383
157,565855,6362969,04:00,20:00,176,2384
158,565762,6362874,04:00,20:00,76,2385
159,570467,6363564,04:00,20:00,76,2386
160,570440,6363560,04:00,20:00,76,2387
161,570440,6363560,04:00,20:00,76,2388
162,570291,6363538,04:00,20:00,76,2389
163,570296,6363498,04:00,20:00,256,2390
164,570660,6363271,04:00,20:00,96,2391
165,570410,6363326,04:00,20:00,176,2392
166,571002,6363057,04:00,20:00,76,2393
167,570536,6362516,04:00,20:00,76,2394
168,570668,6362579,04:00,20:00,76,2395
169,570352,6362641,04:00,20:00,28,2396
170,570365,6363550,04:00,20:00,76,2397
171,563326,6360058,04:00,20:00,76,2398
