Location ID,X Coord (UTM),Y Coord (UTM),Time Window Open (HH:MM),Time Window Close (HH:MM),Handling Time (s),AMCS ID
2,771729,6180788,08:00,18:00,40,13685
3,772906,6179766,13:00,21:00,40,13686
4,769533,6180424,07:15,10:00,40,13687
5,769533,6180424,13:00,21:00,40,13688
6,771746,6180654,06:00,22:00,136,13689
7,771744,6180695,06:00,22:00,56,13690
8,771674,6180676,06:00,22:00,56,13691
9,771675,6180635,06:00,22:00,86,13692
10,771742,6180825,06:00,22:00,76,13695
11,771890,6180822,06:00,22:00,40,13701
12,772010,6180898,06:00,22:00,56,13703
13,771908,6180747,06:00,22:00,56,13704
14,771907,6180655,06:00,22:00,86,13705
15,771899,6180706,06:00,22:00,86,13706
16,771891,6180758,06:00,22:00,86,13707
17,772033,6180611,06:00,22:00,56,13708
18,772030,6180629,06:00,22:00,56,13709
19,772108,6180792,06:00,22:00,56,13710
20,772125,6180663,06:00,22:00,56,13711
21,772325,6180758,06:00,22:00,56,13712
22,772277,6180860,06:00,22:00,56,13713
23,772325,6180752,06:00,22:00,56,13714
24,772572,6180863,06:00,22:00,76,13715
25,772609,6180863,06:00,22:00,56,13716
26,772723,6180588,06:00,22:00,56,13718
27,772747,6180567,06:00,22:00,86,13719
28,772825,6181002,00:00,13:00,40,13720
29,772850,6180835,06:00,22:00,56,13721
30,772812,6180839,06:00,22:00,76,13722
31,772800,6180766,06:00,22:00,56,13723
32,772799,6180676,06:00,22:00,56,13724
33,772834,6180750,06:00,22:00,56,13725
34,772977,6180816,06:00,22:00,56,13726
35,772958,6180725,06:00,22:00,56,13727
36,772801,6180623,06:00,22:00,56,13728
37,772797,6180355,06:00,22:00,86,13731
38,772738,6180343,06:00,22:00,86,13732
39,772718,6180353,06:00,22:00,86,13733
40,772715,6180351,06:00,22:00,86,13735
41,772797,6180332,06:00,22:00,86,13736
42,772747,6180295,06:00,22:00,86,13737
43,772733,6180294,06:00,22:00,56,13739
44,772727,6180265,06:00,22:00,86,13740
45,772978,6180247,06:00,22:00,76,13741
46,772983,6180337,06:00,22:00,56,13742
47,771783,6180723,06:00,22:00,86,13743
48,772116,6180493,06:00,22:00,76,13747
49,772181,6180314,06:00,22:00,56,13748
50,772069,6180127,06:00,22:00,56,13749
51,772064,6180089,06:00,22:00,56,13750
52,772062,6180075,06:00,22:00,56,13751
53,772015,6180048,06:00,22:00,56,13752
54,771905,6180042,06:00,22:00,56,13753
55,771866,6179957,06:00,22:00,56,13754
56,771818,6179933,06:00,22:00,56,13755
57,771826,6179920,06:00,22:00,56,13756
58,771851,6179825,06:00,22:00,56,13757
59,771836,6179759,06:00,22:00,56,13758
60,771871,6179764,06:00,22:00,56,13759
