Location ID,X Coord (UTM),Y Coord (UTM),Time Window Open (HH:MM),Time Window Close (HH:MM),Handling Time (s),AMCS ID
2,562637,6236924,00:00,13:15,76,3
3,562622,6236912,00:00,13:15,136,4
4,562625,6236882,00:00,13:15,76,5
5,562582,6236903,00:00,13:15,196,6
6,562514,6236911,00:00,13:15,132,7
7,562482,6236907,00:00,13:15,106,8
8,562480,6236883,00:00,13:15,76,9
9,562419,6236868,00:00,13:15,76,10
10,562443,6236849,00:00,13:15,192,11
11,562451,6236809,00:00,13:15,106,12
12,562455,6236766,00:00,13:15,106,13
13,562507,6236715,00:00,13:15,106,14
14,562519,6236755,00:00,13:15,166,15
15,562510,6236756,00:00,13:15,76,16
16,562540,6236755,00:00,13:15,126,17
17,562607,6236777,00:00,13:15,76,18
18,562610,6236767,00:00,13:15,76,19
19,562614,6236780,00:00,13:15,76,20
20,562616,6236798,00:00,13:15,106,21
21,562622,6236762,00:00,13:15,76,22
22,562691,6236758,00:00,13:15,156,23
23,562723,6236775,00:00,13:15,60,24
24,562740,6236776,00:00,13:15,136,25
25,562753,6236771,00:00,13:15,76,26
26,562756,6236757,00:00,13:15,153,27
27,562763,6236771,00:00,13:15,106,28
28,562769,6236744,00:15,07:15,60,29
29,562744,6236720,00:15,07:15,60,30
30,562744,6236720,00:00,13:15,116,31
31,562734,6236709,00:00,13:15,76,32
32,562731,6236701,00:00,13:15,76,33
33,562723,6236690,00:00,13:15,76,34
34,562703,6236725,00:00,13:15,76,35
35,562669,6236644,00:00,13:15,76,36
36,562675,6236651,00:00,13:15,156,37
37,562708,6236648,00:00,13:15,76,38
38,562697,6236623,00:00,13:15,76,39
39,562627,6236668,00:00,13:15,76,40
40,562627,6236676,00:00,13:15,76,41
41,562628,6236679,00:00,13:15,76,42
42,562629,6236690,00:00,13:15,116,43
43,562630,6236686,00:00,13:15,156,44
44,562579,6236717,00:00,13:15,192,45
45,562577,6236803,00:00,13:15,96,46
46,562554,6236815,00:00,13:15,76,47
47,562558,6236833,00:00,13:15,76,48
48,562596,6236841,00:00,13:15,133,49
49,562593,6236843,00:00,13:15,76,50
50,562669,6236910,00:00,13:15,233,51
51,562670,6236879,00:00,13:15,116,52
52,562668,6236867,00:00,13:15,166,53
53,562667,6236861,00:00,13:15,76,54
54,562669,6236848,00:00,13:15,76,55
55,562666,6236833,00:00,13:15,76,56
56,562666,6236803,00:00,13:15,106,57
57,562665,6236782,00:00,13:15,60,58
58,562667,6236780,00:00,13:15,106,59
59,562645,6236723,00:00,13:15,196,60
60,562640,6236708,00:00,13:15,76,61
61,562550,6236688,00:00,13:15,312,62
62,562557,6236497,00:00,13:15,116,63
63,562460,6236473,00:00,13:15,196,64
64,562363,6236458,00:00,13:15,196,65
65,562340,6236448,00:00,13:15,196,66
66,562338,6236428,00:00,13:15,196,67
67,562399,6236487,00:00,13:15,106,68
68,562404,6236526,00:00,13:15,60,69
69,562404,6236526,00:00,13:15,168,70
70,562390,6236636,00:00,13:15,76,71
71,562387,6236661,00:00,13:15,193,72
72,562311,6236772,00:00,13:15,136,73
73,562306,6236780,00:00,13:15,136,74
74,562314,6236823,00:00,13:15,76,75
75,562350,6236838,00:00,13:15,136,76
76,562257,6236851,00:00,13:15,76,77
77,562243,6236871,00:00,13:15,252,78
78,562235,6236881,00:00,13:15,196,79
79,562234,6236886,00:00,13:15,196,80
80,562198,6236932,00:00,13:15,166,81
81,562187,6236950,00:00,13:15,96,82
82,562157,6236959,00:00,13:15,136,83
83,562162,6236984,00:00,13:15,166,84
84,562157,6236987,00:00,13:15,106,85
85,562072,6237098,00:00,13:15,302,86
86,562184,6236867,00:00,13:15,428,87
87,562241,6236815,00:00,13:15,176,88
88,562238,6236754,00:00,13:15,96,89
89,562261,6236777,00:00,13:15,106,90
90,562204,6236722,00:00,13:15,76,91
91,562243,6236678,00:00,13:15,76,92
92,562195,6236711,00:00,13:15,242,93
93,562037,6237146,00:00,13:15,106,94
94,562023,6237166,00:00,13:15,226,95
95,562455,6236877,00:00,13:15,136,96
