Location ID,X Coord (UTM),Y Coord (UTM),Time Window Open (HH:MM),Time Window Close (HH:MM),Handling Time (s),AMCS ID
2,628336,6234368,06:00,22:00,76,14326
3,628336,6234368,06:00,22:00,96,14327
4,628346,6234185,06:00,22:00,56,14328
5,628083,6234547,06:00,22:00,56,14329
6,628083,6234547,06:00,22:00,76,14330
7,628083,6234547,06:00,22:00,56,14331
8,628156,6234556,06:00,22:00,56,14332
9,628194,6234513,06:00,22:00,136,14333
10,628194,6234513,06:00,22:00,76,14334
11,627984,6234596,07:30,09:30,86,14335
12,627984,6234596,07:30,09:30,86,14336
13,627982,6234597,06:00,22:00,126,14337
14,627931,6234582,06:00,22:00,56,14338
15,627882,6234604,06:00,22:00,86,14339
16,627882,6234604,06:00,22:00,86,14340
17,627882,6234604,06:00,22:00,116,14341
18,627882,6234604,06:00,22:00,56,14342
19,627827,6234700,06:00,22:00,136,14343
20,627827,6234700,06:00,22:00,116,14344
21,627827,6234700,06:00,22:00,86,14345
22,627827,6234700,06:00,22:00,86,14346
23,627662,6234690,06:00,22:00,56,14347
24,627662,6234690,06:00,22:00,56,14348
25,627662,6234690,06:00,22:00,56,14349
26,627662,6234690,06:00,22:00,56,14350
27,627615,6234612,06:00,22:00,56,14351
28,627869,6234472,06:00,22:00,56,14352
29,627864,6234458,06:00,22:00,146,14353
30,627881,6234419,06:00,22:00,56,14354
31,627881,6234419,06:00,22:00,116,14355
32,627898,6234397,06:00,22:00,206,14356
33,627979,6234327,06:00,22:00,76,14357
34,627979,6234327,06:00,22:00,56,14358
35,628092,6234638,06:00,22:00,56,14359
36,627975,6234435,06:00,22:00,116,14360
37,628302,6233977,06:00,22:00,56,14361
38,628302,6233977,06:00,22:00,136,14362
39,628485,6234346,06:00,22:00,40,14363
40,628529,6234420,06:00,22:00,116,14364
41,628529,6234477,06:00,22:00,56,14365
42,628610,6234518,06:00,22:00,56,14366
43,628577,6234491,06:00,22:00,116,14367
44,628577,6234491,06:00,22:00,76,14368
45,628496,6234453,06:00,22:00,56,14369
46,628496,6234453,06:00,22:00,146,14370
47,627476,6233215,06:00,22:00,40,14371
48,627476,6233215,08:00,12:00,40,14372
49,627414,6233319,06:00,22:00,56,14373
50,627393,6233366,06:00,22:00,56,14374
51,627589,6233399,06:00,22:00,76,14375
52,627554,6233476,06:00,22:00,40,14376
53,627831,6233581,06:00,22:00,76,14377
54,627733,6233529,06:00,22:00,56,14378
55,627691,6233403,06:00,22:00,56,14379
56,627717,6233444,06:00,22:00,56,14380
57,627922,6233521,06:00,22:00,56,14381
58,627925,6233537,06:00,22:00,56,14382
59,628337,6233721,06:00,22:00,86,14383
60,628345,6233734,06:00,22:00,176,14384
61,628358,6233769,06:00,22:00,176,14385
62,628315,6233748,06:00,22:00,56,14386
63,628315,6233748,06:00,22:00,176,14387
64,628293,6233768,06:00,22:00,86,14388
65,628353,6233806,06:00,22:00,40,14389
66,628389,6233790,06:00,22:00,176,14390
67,628395,6233777,06:00,22:00,86,14391
68,628481,6233869,06:00,22:00,86,14392
69,628492,6233805,06:00,22:00,106,14393
70,628520,6233904,06:00,22:00,56,14394
71,628389,6233913,06:00,22:00,40,14395
72,628389,6233913,06:00,22:00,206,14396
73,628389,6233913,06:00,22:00,206,14397
74,628389,6233913,06:00,22:00,86,14398
75,628334,6233832,06:00,22:00,86,14399
76,628334,6233832,06:00,22:00,86,14400
77,628334,6233832,06:00,22:00,56,14401
78,628334,6233832,06:00,22:00,86,14402
79,628334,6233832,06:00,22:00,86,14403
80,628334,6233832,06:00,22:00,206,14404
81,628556,6234348,06:00,22:00,76,14405
82,628567,6234357,06:00,22:00,56,14406
83,628674,6234328,06:00,22:00,116,14407
84,628740,6234304,06:00,22:00,76,14408
85,628680,6234299,06:00,22:00,56,14409
86,628605,6234223,06:00,22:00,56,14410
87,628548,6234211,06:00,22:00,56,14411
88,628557,6234138,06:00,22:00,116,14412
89,628571,6234144,06:00,22:00,56,14413
90,628611,6234055,06:00,22:00,116,14414
91,628611,6234055,06:00,22:00,56,14415
92,628636,6234013,06:00,22:00,56,14416
93,628683,6233880,06:00,22:00,86,14417
94,628739,6233932,06:00,22:00,86,14418
95,628755,6234210,06:00,22:00,76,14419
96,628976,6234049,06:00,22:00,40,14420
97,629054,6234082,06:00,22:00,56,14421
98,629159,6234140,06:00,22:00,146,14422
99,629108,6234190,06:00,22:00,56,14423
100,627476,6233215,08:00,12:00,40,14424
