Location ID,X Coord (UTM),Y Coord (UTM),Time Window Open (HH:MM),Time Window Close (HH:MM),Handling Time (s),AMCS ID
2,731560,6153351,09:30,10:00,56,2282
3,731560,6153351,09:30,10:30,76,2283
4,731653,6153091,09:30,10:30,96,2284
5,731557,6153064,06:00,22:00,56,2285
6,731336,6152919,09:30,10:30,56,2286
7,731336,6152919,09:30,10:30,156,2287
8,731336,6152919,09:30,10:30,116,2288
9,731336,6152919,09:30,10:30,76,2289
10,731336,6152919,09:30,10:30,76,2290
11,731336,6152919,09:30,10:30,56,2291
12,731109,6152985,06:00,22:00,96,2292
13,731083,6152847,09:30,10:30,96,2293
14,730856,6152875,09:30,10:30,76,2294
15,730728,6152703,06:00,22:00,56,2295
16,730837,6152718,06:00,22:00,56,2296
17,730818,6152731,09:30,10:30,56,2297
18,730818,6152731,09:30,10:30,296,2298
19,730848,6152715,06:00,22:00,40,2299
20,730906,6152580,06:00,22:00,56,2300
21,730879,6152540,09:30,10:30,56,2301
22,730822,6152574,10:00,11:00,40,2302
23,730822,6152574,09:30,10:30,76,2303
24,730895,6152505,06:00,22:00,56,2304
25,730852,6152418,06:00,22:00,116,2305
26,730837,6152345,06:00,22:00,76,2306
27,730817,6152301,06:00,22:00,76,2307
28,730828,6152295,06:00,22:00,76,2308
29,730738,6152275,09:30,10:30,96,2309
30,731017,6152242,09:30,10:30,56,2310
31,730767,6152210,06:00,22:00,76,2311
32,730695,6152131,06:00,22:00,236,2312
33,730956,6152114,09:30,10:30,116,2313
34,731083,6152534,09:30,10:30,56,2314
35,730579,6152048,06:00,22:00,56,2315
36,730570,6152018,06:00,22:00,76,2316
37,730634,6151886,06:00,22:00,56,2317
38,730431,6151815,06:00,22:00,56,2318
39,730394,6151078,06:00,22:00,56,2319
40,730433,6151044,06:00,22:00,56,2320
41,730411,6151020,06:00,22:00,76,2321
42,730396,6150840,06:00,22:00,56,2322
43,730436,6150806,06:00,22:00,56,2323
44,730442,6150740,06:00,22:00,56,2324
45,730480,6150571,06:00,22:00,56,2325
46,730540,6150695,06:00,22:00,56,2326
47,730604,6150872,06:00,22:00,56,2327
48,730835,6153776,06:00,22:00,76,2328
49,730983,6153944,06:00,22:00,56,2329
50,730711,6154003,06:00,22:00,86,2330
51,730774,6153975,06:00,22:00,56,2331
52,730868,6154165,06:00,22:00,56,2332
53,730871,6154177,06:00,22:00,56,2333
54,730958,6154243,06:00,22:00,56,2334
55,730980,6154103,06:00,22:00,56,2335
56,730758,6153616,06:00,22:00,56,2336
57,730677,6153611,12:30,13:00,56,2337
58,730677,6153611,06:00,22:00,56,2338
59,730679,6153605,06:00,22:00,56,2339
60,730682,6153631,06:00,22:00,56,2340
61,730687,6153475,06:00,22:00,56,2341
62,730453,6153273,06:00,22:00,56,2342
63,730453,6153273,06:00,22:00,56,2343
64,730696,6153335,06:00,22:00,56,2344
65,730786,6153333,06:00,22:00,146,2345
66,730806,6153305,06:00,22:00,86,2346
67,730815,6153292,06:00,22:00,56,2347
68,730776,6153087,06:00,22:00,146,2348
69,730672,6153220,06:00,22:00,56,2349
70,730560,6153092,06:00,22:00,56,2350
71,730437,6153114,06:00,22:00,56,2351
72,730417,6153153,06:00,22:00,56,2352
73,730363,6153262,06:00,22:00,56,2353
74,730349,6153108,06:00,22:00,56,2354
75,730346,6153110,06:00,22:00,56,2355
76,730504,6152942,06:00,22:00,56,2356
77,730618,6152904,06:00,22:00,56,2357
78,730618,6152904,06:00,22:00,116,2358
79,730598,6152932,06:00,22:00,86,2359
80,730725,6153021,06:00,22:00,116,2360
81,730384,6152841,06:00,22:00,116,2361
82,730384,6152841,06:00,22:00,56,2362
83,730623,6152798,06:00,22:00,76,2363
84,730498,6152772,06:00,22:00,76,2364
85,730498,6152772,06:00,22:00,76,2365
86,730647,6152610,06:00,22:00,116,2366
87,730299,6152370,06:00,22:00,56,2367
88,730093,6152349,06:00,22:00,56,2368
89,730182,6152265,06:00,22:00,56,2369
90,730201,6152192,06:00,22:00,56,2370
91,730196,6152181,06:00,22:00,56,2371
92,730160,6152144,06:00,22:00,56,2372
93,730421,6152190,06:00,22:00,56,2373
94,730267,6152204,06:00,22:00,56,2374
95,730447,6152065,06:00,22:00,56,2375
96,730479,6151997,06:00,22:00,76,2376
97,730250,6152054,06:00,22:00,56,2377
98,732483,6155101,06:00,22:00,56,2378
99,732574,6155150,06:00,22:00,56,2379
100,732613,6155003,06:00,22:00,56,2380
101,732932,6155189,06:00,22:00,56,2381
102,730822,6152574,06:00,22:00,40,2382
