Location ID,X Coord (UTM),Y Coord (UTM),Time Window Open (HH:MM),Time Window Close (HH:MM),Handling Time (s),AMCS ID
2,731942,6407276,08:11,09:11,196,1005
3,731496,6407211,08:26,18:00,196,1006
4,731560,6407455,09:00,10:00,196,1007
5,731522,6407557,08:26,18:00,362,1008
6,731102,6407452,08:26,18:00,528,1009
7,731079,6407360,08:26,18:00,196,1010
8,731111,6407331,08:26,18:00,1026,1011
9,731108,6407278,08:26,18:00,2188,1012
10,731350,6407478,08:26,18:00,196,1013
11,731378,6407467,08:26,18:00,196,1014
12,731408,6407597,08:26,18:00,196,1015
13,731388,6407552,08:26,18:00,196,1016
14,731427,6407530,08:26,18:00,694,1017
15,731354,6407587,08:26,18:00,362,1018
16,731457,6407731,08:26,18:00,362,1019
17,731575,6407804,08:26,18:00,648,1020
18,732108,6407868,08:26,18:00,196,1021
19,732350,6407714,08:26,18:00,528,1022
20,731979,6407325,08:26,12:00,196,1023
21,731979,6407325,08:26,18:00,166,1024
22,732885,6408470,08:26,18:00,196,1025
23,733057,6408524,08:26,18:00,196,1026
24,730906,6407162,08:26,17:00,226,1027
25,731837,6407343,08:26,17:00,422,1028
26,731979,6407325,08:26,18:00,1026,1029
27,731972,6407224,08:26,18:00,362,1030
28,731836,6407280,08:26,18:00,196,1031
29,731942,6407276,12:45,13:45,196,1032
30,731032,6407221,08:26,18:00,196,1033
31,731235,6407497,08:26,18:00,196,1034
32,731283,6407535,08:26,17:00,226,1035
33,732015,6408090,08:26,18:00,528,1036
34,732089,6408146,08:26,18:00,196,1037
35,732098,6408025,08:26,18:00,196,1038
36,732262,6408114,08:26,18:00,196,1039
37,732254,6408108,08:26,18:00,196,1040
38,732229,6408088,08:26,18:00,196,1041
39,732566,6408478,14:45,15:45,196,1042
40,731579,6407655,14:45,15:45,196,1043
41,731507,6407692,08:26,18:00,196,1044
42,731495,6407703,08:26,18:00,196,1045
43,731979,6407325,14:45,15:45,362,1046
